"tree" "garden" "psite" "csite" "weight_c" "leaves_c" "sla_c" "ldmc_c" "water_c" "weight_p" "leaves_p" "sla_p" "ldmc_p" "water_p" "habu_p" "iapabu_p" "habu_c" "iapabu_c" "plantlrr" "iap_h_ratio" "iaplrr" "hlrr"
"1" "TREMOR" "g1" "w1g1p4" "w1g1p3" 20.085 5.745 5.23737949813036 -0.935743157800971 11.42 13.695 3.415 5.11609231164784 -0.683273266000952 9.07 47 45 214 82 0.382942465096204 0.383177570093458 0.600056757493933 1.51582841331179
"2" "PIPTAR" "g1" "w1g1p4" "w1g1p3" 1.89 1.61 4.8596044039071 -0.417586468640509 9.96 9.605 2.6 4.68439204403622 -0.372347996866774 10.84 56 19 68 7 -1.62570696714897 0.102941176470588 -0.998528830111127 0.194156014440957
"3" "PIPTAR" "g2" "w1g2p3" "w1g2p6" 8.615 2.575 5.06788146576009 -0.754523738647617 16.63 0.1388 0.1388 5.0489606252073 -0.699020912572039 13.66 26 1 165 1 4.12822610088933 0.00606060606060606 0 1.8478489358791
"4" "PIPEUM" "g2" "w1g2p3" "w1g2p6" 0.605 0.385 5.98432766463075 -1.6636776813711 16.1 1.695 0.86 5.72256750394626 -1.56131280772887 22.92 7 2 NA NA -1.03020956178371 NA NA NA
"5" "PIPEAD" "g2" "w1g2p3" "w1g2p6" 0.02333 0.02333 6.03798629362639 -1.77954388145993 8.95 0.04662 0.04662 5.50265106076451 -1.56642052735041 15.47 NA NA NA NA -0.692289547574273 NA NA NA
"6" "PIPTAR" "g3" "w1g3p6" "w1g3p3" 100.475 37.265 5.11577342282322 -0.734032165222264 13.23 71.436 15.601 5.17686451942571 -0.993251773010283 17.28 657 77 537 74 0.341106996376011 0.13780260707635 -0.0397403286495141 -0.201685923975746
"7" "MELAMU" "g3" "w1g3p6" "w1g3p3" 8.795 2.3 5.85876860859541 -1.4068289635616 9.84 15.835 3.355 5.7777597753165 -1.24976001610566 NA 84 22 44 3 -0.588039301801082 0.0681818181818182 -1.99243016469021 -0.646627164925052
"8" "PIPEUM" "g3" "w1g3p6" "w1g3p3" 2.235 1.195 6.20108915589375 -1.78239171922445 17 0.655 0.655 6.29268327516745 -2.05301267858403 19.79 NA NA NA NA 1.22736127141242 NA NA NA
"9" "PIPEAD" "g3" "w1g3p6" "w1g3p3" 0.225 NA 5.88439138336914 -1.50193835852752 14.01 0.73 0.36 6.23260998571099 -2.02922178470081 18.64 1 2 NA NA -1.17694413193802 NA NA NA
"10" "HOMANO" "g3" "w1g3p6" "w1g3p3" 0.6 0.6 5.30456208619096 -0.968875967012139 13.86 0.15759 0.02502 5.89089904872948 -1.50514179283206 14.1 NA NA NA NA 1.33693293158217 NA NA NA
"11" "MELOS1" "g4" "w1g4p2" "w1g4p1" 128.97 31.395 5.04517310910924 -0.594925053391912 14.34 10.38 3.62 5.36778685710734 -0.741465757830753 8.48 51 7 658 84 2.51969894143856 0.127659574468085 2.484906649788 2.55737929860099
"12" "MELAMU" "g4" "w1g4p2" "w1g4p1" 15.35 3.1 5.7414548021369 -1.35505220566122 14.81 7.49 1.89 5.35392431048545 -0.858849577186058 12.77 75 13 64 3 0.717546676504078 0.046875 -1.46633706879343 -0.158605030176639
"13" "TRICPL" "g4" "w1g4p2" "w1g4p1" 0.89 0.27 5.58805451825151 -0.738879111986661 12.08 22.8 17.02 5.38770646526531 -0.665075161781259 11.24 103 27 10 NA -3.24329435221635 NA NA -2.33214389523559
"14" "PIPEUM" "g4" "w1g4p2" "w1g4p1" 1.31 0.96 5.99666260406754 -1.62865900605102 18.91 1.455 0.76 5.92935820096857 -1.7078146386464 16.33 NA NA NA NA -0.104978763410396 NA NA NA
"15" "FICUCO" "g4" "w1g4p2" "w1g4p1" 0.00441 0.00441 5.42939131504532 -0.847297860387204 1.12 0.01543 0.01543 5.28786129612804 -0.850332764082358 4.4 NA NA NA NA -1.25243897691631 NA NA NA
"16" "HOMANO" "g4" "w1g4p2" "w1g4p1" 0.00682 0.00682 5.49080517044627 -0.9798522133639 3.41 0.985 0.49 4.8506758027036 -0.587071539980188 19.57 8 1 NA NA -4.97278216931672 NA NA NA
"17" "PREMS1" "g5" "w1g5p3" "w1g5p1" 0.365 0.365 5.45548580977204 -1.08989383762823 5.71 3.975 1.825 5.12748620821951 -0.806806499032467 12.1 36 13 22 NA -2.38788267350594 NA NA -0.492476485097794
"18" "PIPEUM" "g5" "w1g5p3" "w1g5p1" 0.10448 0.10448 6.08568920098132 -1.91466588133337 18.59 0.57 0.57 6.3992251955296 -2.16098552572001 22.22 NA NA NA NA -1.69664069530047 NA NA NA
"19" "MELAMU" "g6" "w1g6p2" "w1g6p6" 10.51 3.705 5.91946779139852 -1.66007207491325 13.57 6.58 1.73 5.83137321086933 -1.58703908404626 15.01 136 38 15 4 0.468292439551634 0.266666666666667 -2.2512917986065 -2.20460468463384
"20" "TRICPL" "g6" "w1g6p2" "w1g6p6" 4.04 1.195 5.29106304731017 -0.844788448781778 11.94 3.395 0.84 5.68463788080852 -1.0206507471984 6.66 49 26 44 15 0.173940930962399 0.340909090909091 -0.550046336919272 -0.107630664192365
"21" "PIPTAR" "g6" "w1g6p2" "w1g6p6" 3.13 1.26 5.06785327088166 -0.708492750234605 11.82 40.585 40.585 5.03362520806941 -0.657055893997572 10.34 491 73 47 9 -2.56236553566108 0.191489361702128 -2.09323486381217 -2.34629652608446
"22" "BREYCE" "g6" "w1g6p2" "w1g6p6" 2.41 0.695 5.09869145477961 -0.982201936823698 9.72 0.495 0.255 5.19999484168469 -0.894463328829634 8.61 21 8 6 9 1.58282426391601 1.5 0.117783035656383 -1.25276296849537
"23" "PIPEUM" "g6" "w1g6p2" "w1g6p6" 0.22103 0.22103 6.48251229509629 -2.2691868125922 13.25 0.04308 0.04308 6.52492755640016 -2.32456399971282 13.8 NA NA NA NA 1.63523958662316 NA NA NA
