morph,nospec,r_cm_size
mant001,1,2.7
mant001,2,2.7
mant001,3,3.5
mant001,4,2.7
mant001,5,2
mant001,6,1.6
mant001,7,3
mant001,8,3.5
mant001,9,2.2
mant001,10,3
mant001,11,3.5
mant001,12,4
mant001,13,3.8
mant001,14,4.3
mant001,15,2.4
mant001,16,2.4
mant001,17,4
mant001,18,3.8
mant001,19,5.3
mant001,20,3.5
mant002,1,1.5
mant002,2,1.6
mant002,3,0.87
mant002,4,0.81
mant002,5,1.5
mant002,6,1.1
mant002,7,0.91
mant002,8,1.2
mant002,9,1.6
mant002,10,1.3
mant002,11,1.3
mant002,12,1.3
mant002,13,0.87
mant002,14,1.3
mant002,15,1.01
mant002,16,1.1
mant002,17,1.4
mant002,18,1.5
mant002,19,1.1
mant002,20,0.93
mant003,1,6.6
mant003,2,6.5
mant003,3,6.7
mant003,4,5.9
mant003,5,7.5
mant003,6,6.5
mant003,7,6.9
mant003,8,6.5
mant003,9,7
mant003,10,7
mant003,11,6.4
mant003,12,7
mant003,13,6.5
mant003,14,6.6
mant003,15,6.1
mant003,16,6.5
mant003,17,6.7
mant003,18,6.3
mant003,19,7.7
mant003,20,9.3
mant004,1,2.7
mant004,2,0.89
mant004,3,0.86
mant004,4,2.8
mant004,5,2.3
mant004,6,0.83
mant004,7,0.81
mant004,8,0.75
mant004,9,0.77
mant004,10,0.81
mant005,1,2.6
mant005,2,2.1
mant005,3,1.6
mant005,4,0.93
mant005,5,1.9
mant005,6,2.3
mant005,7,1.9
mant005,8,0.92
mant005,9,1.6
mant006,1,5.8
mant006,2,2.4
mant006,3,2.5
mant006,4,4.5
mant006,5,5.4
mant006,6,2.1
mant006,7,2.2
mant006,8,1.2
mant006,9,2.2
mant006,10,3.6
mant006,11,5.8
mant006,12,1.7
mant006,13,5.3
mant007,1,1.2
mant007,2,1.8
mant007,3,3.4
mant007,4,1.2
mant007,5,1.1
mant007,6,2.2
mant007,7,0.96
mant007,8,1.1
mant007,9,1.1
mant007,10,2
mant007,11,1.5
mant007,12,1.5
mant007,13,1
mant007,14,0.94
mant007,15,1
mant007,16,0.97
mant007,17,0.93
mant007,18,0.93
mant007,19,1.1
mant007,20,9.1
mant008,1,6.1
mant008,2,6
mant008,3,6.1
mant009,1,1.7
mant009,2,2.1
mant009,3,3.2
mant009,4,1.3
mant010,1,7
mant010,2,7.1
mant010,3,6.5
mant010,4,7.5
mant010,5,6.6
mant011,1,4.6
mant011,2,7
mant011,3,2.2
mant011,4,5.9
mant011,5,4.3
mant011,6,4.7
mant011,7,3.2
mant011,8,3.3
mant012,1,6.4
mant012,2,5.3
mant012,3,6
mant013,1,3.1
mant013,2,2.9
mant013,3,2.9
mant014,1,1.2
mant014,2,1.3
mant014,3,1.7
mant014,4,1.6
aran001,1,0.75
aran001,2,0.36
aran001,3,0.57
aran001,4,0.465
aran001,5,1.1
aran001,6,0.34
aran001,7,0.43
aran001,8,0.46
aran001,9,0.77
aran001,10,0.465
aran001,11,0.72
aran001,12,0.53
aran001,13,0.61
aran001,14,0.78
aran001,15,0.395
aran001,16,0.6
aran001,17,0.375
aran001,18,0.68
aran001,19,0.395
aran001,20,0.495
aran002,1,0.69
aran002,2,0.72
aran002,3,0.66
aran002,4,0.51
aran002,5,0.53
aran002,6,0.57
aran002,7,0.66
aran002,8,0.56
aran002,9,0.24
aran002,10,0.53
aran002,11,0.56
aran002,12,0.64
aran003,1,0.62
aran003,2,0.65
aran003,3,0.6
aran003,4,0.88
aran003,5,0.33
aran003,6,0.66
aran003,7,0.33
aran003,8,0.445
aran003,9,0.72
aran003,10,0.7
aran003,11,0.38
aran003,12,0.58
aran003,13,0.65
aran003,14,0.62
aran003,15,0.46
aran003,16,0.54
aran003,17,0.37
aran003,18,0.86
aran003,19,0.55
aran003,20,0.79
aran004,1,0.62
aran004,2,0.4
aran004,3,0.6
aran004,4,0.6
aran004,5,0.6
aran004,6,0.69
aran004,7,0.52
aran004,8,0.53
aran004,9,0.36
aran004,10,0.435
aran005,1,0.475
aran005,2,0.63
aran005,3,0.76
aran005,4,0.75
aran005,5,0.74
aran005,6,0.365
aran005,7,0.415
aran005,8,0.97
aran005,9,0.63
aran005,10,0.84
aran005,11,0.8
aran005,12,0.97
aran005,13,0.99
aran005,14,0.62
aran006,1,0.5
aran006,2,0.435
aran006,3,0.59
aran006,4,0.53
aran006,5,0.58
aran006,6,0.6
aran006,7,0.68
aran006,8,0.72
aran006,9,0.62
aran006,10,0.62
aran006,11,0.61
aran006,12,0.66
aran006,13,0.7
aran006,14,0.64
aran006,15,0.61
aran006,16,0.64
aran006,17,0.57
aran006,18,0.56
aran006,19,0.45
aran006,20,0.72
aran007,1,0.41
aran007,2,1.2
aran007,3,0.83
aran007,4,0.57
aran007,5,0.95
aran007,6,1
aran007,7,0.99
aran008,1,0.8
aran008,2,1.1
aran008,3,1
aran008,4,0.6
aran008,5,0.47
aran008,6,0.405
aran008,7,0.27
aran008,8,0.45
aran008,9,1.3
aran008,10,0.7
aran008,11,0.36
aran008,12,0.76
aran008,13,0.76
aran008,14,0.61
aran008,15,0.35
aran008,16,0.445
aran008,17,0.35
aran008,18,0.38
aran008,19,0.71
aran008,20,1.1
aran009,1,0.72
aran009,2,0.36
aran009,3,0.86
aran009,4,0.59
aran009,5,0.43
aran009,6,0.82
aran009,7,0.76
aran009,8,0.44
aran009,9,1.2
aran009,10,0.4
aran009,11,1.1
aran009,12,0.54
aran009,13,0.7
aran009,14,0.86
aran009,15,0.28
aran009,16,0.42
aran009,17,0.94
aran009,18,0.77
aran009,19,0.5
aran009,20,0.92
aran010,1,0.37
aran010,2,0.38
aran010,3,0.27
aran010,4,0.515
aran010,5,0.25
aran010,6,0.445
aran010,7,0.38
aran011,1,0.65
aran011,2,0.52
aran011,3,0.425
aran011,4,0.32
aran011,5,0.54
aran011,6,0.375
aran011,7,0.335
aran011,8,0.81
aran011,9,0.445
aran011,10,0.56
aran011,11,0.5
aran011,12,0.71
aran011,13,0.61
aran011,14,0.265
aran011,15,0.48
aran011,16,0.57
aran011,17,0.55
aran011,18,0.57
aran011,19,0.75
aran011,20,0.55
aran012,1,0.59
aran012,2,0.415
aran012,3,0.37
aran012,4,0.495
aran012,5,0.4
aran012,6,0.235
aran012,7,0.24
aran012,8,0.34
aran012,9,0.54
aran012,10,0.37
aran013,1,0.85
aran013,2,0.88
aran013,3,0.91
aran013,4,1
aran013,5,1.1
aran013,6,0.95
aran013,7,0.7
aran013,8,0.98
aran013,9,1
aran014,1,0.8
aran014,2,0.75
aran014,3,0.84
aran014,4,0.8
aran014,5,0.84
aran014,6,0.85
