Morphotype,Nr. of specimen,Size,Scale,scl
lepi001,1,0.84,cm,0.5
lepi001,2,0.55,cm,1
lepi002,1,0.57,cm,1
lepi002,2,0.67,cm,1
lepi003,1,0.98,cm,1
lepi003,2,0.75,cm,2
lepi003,3,1.04,cm,1
lepi003,4,0.83,cm,2
lepi004,1,0.63,cm,2
lepi004,2,1.0,cm,1
lepi004,3,0.98,cm,1
lepi004,4,0.74,cm,1
lepi004,5,0.68,cm,2
lepi004,6,0.79,cm,2
lepi004,7,0.8,cm,2
lepi004,8,1.0,cm,1
lepi004,9,0.84,cm,1
lepi004,10,0.55,cm,1
lepi004,11,0.43,cm,1
lepi004,12,0.7,cm,1
lepi004,13,0.95,cm,1
lepi004,14,0.96,cm,1
lepi004,15,1.1,cm,1
lepi004,16,0.68,cm,1
lepi004,17,0.72,cm,1
lepi004,18,0.57,cm,1
lepi004,19,0.86,cm,1
lepi004,20,0.59,cm,1
lepi005,1,0.95,cm,2
lepi005,2,0.74,cm,1
lepi005,3,1.0,cm,1
lepi005,4,0.5,cm,1
lepi005,5,1.0,cm,2
lepi005,6,1.05,cm,2
lepi005,7,0.98,cm,2
lepi005,8,0.77,cm,2
lepi005,9,0.82,cm2
lepi005,10,1.05,cm,2
lepi005,11,0.95,cm,2
lepi005,12,0.85,cm,2
lepi005,13,0.9,cm,1
lepi005,14,1.05,cm,2
lepi005,15,0.65,cm,2
lepi005,16,0.65,cm,2
lepi005,17,0.89,cm,2
lepi005,18,0.59,cm,2
lepi005,19,0.61,cm,2
lepi005,20,0.85,cm,1
lepi006,1,4.2,cm,1
lepi006,2,0.72,cm,2
lepi007,1,0.76,cm,2
lepi007,2,0.9,cm,2
lepi007,3,0.52,cm,2
lepi007,4,0.6,cm,2
lepi007,5,0.68,cm,2
lepi007,6,0.9,cm,1
lepi007,7,0.58,cm,2
lepi007,8,0.58,cm,2
lepi007,9,0.54,cm,2
lepi007,10,0.56,cm,2
lepi007,11,0.75,cm,2
lepi007,12,0.82,cm,1
lepi007,13,0.68,cm,2
lepi007,14,0.57,cm,2
lepi007,15,0.89,cm,2
lepi007,16,0.91,cm,2
lepi007,17,1.01,cm,2
lepi007,18,0.88,cm,2
lepi007,19,0.75,cm,2
lepi007,20,0.76,cm,2
lepi008,1,0.69,cm,2
lepi008,2,0.60,cm,2
lepi008,3,0.75,cm,1
lepi008,4,0.70,cm,1
lepi008,5,0.83,cm,1
lepi008,6,0.60,cm,1
lepi008,7,0.56,cm,2
lepi008,8,0.75,cm,2
lepi008,9,0.78,cm,2
lepi008,10,0.61,cm,2
lepi008,11,0.96,cm,2
lepi008,12,0.83,cm,2
lepi008,13,2.1,cm,1
lepi008,14,0.79,cm,2
lepi008,15,0.78,cm,2
lepi008,16,0.66,cm,1
lepi008,17,0.81,cm,1
lepi008,18,0.79,cm,1
lepi008,19,1.05,cm,1
lepi008,20,0.85,cm,1
lepi009,1,3.6,cm,1
lepi009,2,3.0,cm,1
lepi009,3,2.2,cm,1
lepi009,4,2.3,cm,1
lepi009,5,1.7,cm,1
lepi009,6,2.2,cm,1
lepi009,7,2.4,cm,1
lepi009,8,1.5,cm,1
lepi009,9,2.4,cm,1
lepi009,10,2.2,cm,1
lepi009,11,1.5,cm,1
lepi009,12,2.3,cm,1
lepi009,13,2.5,cm,1
lepi009,14,2.2,cm,1
lepi009,15,2.1,cm,1
lepi009,16,1.5,cm,1
lepi009,17,1.4,cm,1
lepi009,18,1.8,cm,1
lepi009,19,2.6,cm,1
lepi009,20,1.9,cm,1
lepi010,1,0.90,cm,2
lepi010,2,0.54,cm,2
lepi010,3,0.75,cm,2
lepi010,4,0.89,cm,2
lepi010,5,0.72,cm,2
lepi010,6,0.60,cm,2
lepi010,7,0.67,cm,2
lepi010,8,2.1,cm,1
lepi010,9,1.0,cm,1
lepi010,10,1.0,cm,1
lepi010,11,0.9,cm,1
lepi010,12,2.1,cm,1
lepi010,13,1.8,cm,1
lepi010,14,0.58,cm,2
lepi010,15,1.7,cm,1
lepi010,16,1.7,cm,1
lepi010,17,0.65,cm,2
lepi010,18,0.55,cm,2
lepi010,19,0.83,cm,2
lepi011,1,2.5,cm,1
lepi011,2,2.0,cm,1
lepi011,3,1.9,cm,1
lepi011,4,2.1,cm,1
lepi011,5,0.83,cm,2
lepi011,6,0.92,cm,2
lepi011,7,2.2,cm,1
lepi011,8,0.75,cm,1
lepi011,9,0.80,cm,1
lepi011,10,0.87,cm,2
lepi011,11,0.62,cm,1
lepi011,12,0.84,cm,1
lepi011,13,0.95,cm,2
lepi011,14,0.61,cm,2
lepi011,15,0.45,cm,2
lepi011,16,0.55,cm,2
lepi011,17,0.74,cm,2
lepi011,18,0.82,cm,1
lepi011,19,0.64,cm,1
lepi011,20,0.56,cm,2
lepi012,1,0.78,cm,2
lepi012,2,2.1,cm,1
lepi012,3,3.9,cm,1
lepi012,4,1.9,cm,1
lepi014,1,0.89,cm,2
lepi014,2,0.72,cm,2
lepi014,3,0.81,cm,2
lepi015,1,2.3,cm,1
lepi015,2,2.5,cm,1
lepi015,3,3.55,cm,1
lepi015,4,2.25,cm,1
lepi016,1,0.70,cm,2
lepi016,2,2.15,cm,1
lepi016,3,0.52,cm,2
lepi016,4,2.4,cm,1
lepi016,5,2.2,cm,1
lepi016,6,2.8,cm,1
lepi016,7,2.2,cm,1
lepi016,8,3.2,cm,1
lepi016,9,0.75,cm,2
lepi016,10,2.7,cm,1
lepi016,11,2.3,cm,1
lepi016,12,3.2,cm,1
lepi016,13,2.3,cm,1
lepi016,14,2.4,cm,1
lepi016,15,2.3,cm,1
lepi016,16,3.8,cm,1
lepi016,17,0.78,cm,2
lepi016,18,2.7,cm,1
lepi016,19,3.1,cm,1
lepi016,20,0.63,cm,2
lepi017,1,0.52,cm,2
lepi019,1,0.95,cm,1
lepi019,2,0.58,cm,1
lepi019,3,0.75,cm,1
lepi019,4,0.80,cm,1
lepi019,5,0.75,cm,1
lepi019,6,0.88,cm,1
lepi019,7,0.88,cm,1
lepi019,8,1.0,cm,1
lepi019,9,0.57,cm,1
lepi019,10,0.65,cm,1
lepi019,11,0.55,cm,1
lepi019,12,0.40,cm,1
lepi019,13,0.43,cm,1
lepi019,14,0.58,cm,2
lepi019,15,0.62,cm,2
lepi019,16,0.55,cm,2
lepi019,17,0.67,cm,2
lepi019,18,0.57,cm,2
lepi019,19,0.53,cm,2
lepi019,20,0.58,cm,2
lepi020,1,0.66,cm,1
lepi020,2,0.94,cm,1
lepi020,3,1.0,cm,1
lepi020,4,3.1,cm,1
lepi020,5,3.4,cm,1
lepi020,6,0.58,cm,2
lepi020,7,2.3,cm,1
lepi020,8,2.1,cm,1
lepi020,9,0.76,cm,1
lepi020,10,1.0,cm,1
lepi021,1,0.62,cm,2
lepi021,2,0.53,cm,2
lepi021,3,0.57,cm,2
lepi021,4,0.60,cm,2
lepi021,5,0.65, cm,2
lepi021,6,0.66,cm,2
lepi021,7,0.58,cm,2
lepi021,8,0.58,cm,2
lepi021,9,0.57,cm,2
lepi021,10,0.49,cm,2
lepi021,11,0.55,cm,2
lepi021,12,0.54,cm,2
lepi021,13,0.57,cm,2
lepi021,14,0.58,cm,2
lepi021,15,0.41,cm,2
lepi021,16,0.53,cm,2
lepi021,17,0.55,cm,2
lepi021,18,0.56,cm,2
lepi021,19,0.58,cm,2
lepi021,20,0.58,cm,2
lepi022,1,0.9,cm,1
lepi022,2,1.0,cm,1
lepi022,3,0.63,cm,2
lepi023,1,0.60,cm,2
lepi023,2,0.51,cm,2
lepi023,3,0.78,cm,1
lepi023,4,0.60,cm,2
lepi023,5,0.86,cm,1
lepi023,6,0.88,cm,1
lepi023,7,0.68,cm,1
lepi023,8,0.52,cm,2
lepi023,9,0.72,cm,1
lepi023,10,0.60,cm,1
lepi024,1,0.47,cm,2
lepi024,2,0.43,cm,2
lepi024,3,0.47,cm,2
lepi024,4,0.36,cm,2
lepi024,5,0.50,cm,2
lepi024,6,0.43,cm,2
lepi024,7,0.40,cm,2
lepi024,8,0.37,cm,2
lepi024,9,0.40,cm,2
lepi024,10,0.41,cm,2
lepi024,11,0.56,cm,2
lepi025,1,0.52,cm,1
lepi025,2,0.57,cm,1
lepi025,3,0.50,cm,1
lepi026,1,4.5,cm,1
lepi027,1,0.84,cm,2
lepi027,2,0.54,cm,2
lepi027,3,0.81,cm,2
lepi027,4,0.80,cm,2
lepi027,5,0.84,cm,2
lepi027,6,0.78,cm,2
lepi027,7,0.32,cm,2
lepi027,8,0.68,cm,2
lepi027,9,0.59,cm,2
lepi027,10,0.89,cm,2
lepi027,11,0.48,cm,2
lepi027,12,2.3,cm,1
lepi027,13,1.7,cm,1
lepi027,14,0.8,cm,1
lepi027,15,0.69,cm,2
lepi027,16,0.88,cm,2
lepi027,17,0.95,cm,2
lepi027,18,0.96,cm,2
lepi027,19,2.2,cm,1
lepi027,20,2.1,cm,1
lepi028,1,3.3,cm,1
lepi028,2,2.2,cm,1
lepi028,3,2.1,cm,1
lepi028,4,3.1,cm,1
lepi028,5,2.0,cm,1
lepi028,6,0.63,cm,2
lepi028,7,0.74,cm,2
lepi028,8,3.2,cm,1
lepi028,9,2.25,cm,1
lepi028,10,2.2,cm,1
lepi028,11,2.5,cm,1
lepi028,12,0.55,cm,2
lepi028,13,0.9,cm,2
lepi028,14,0.6,cm,2
lepi029,1,0.91,cm,2
lepi029,2,3.4,cm,1
lepi029,3,0.8,cm,2
lepi029,4,0.79,cm,1
lepi029,5,0.81,cm,1
