"plot" "herbabu" "apabu" "CODE" "area.cm2" "area.m2" "hdens" "apdens" "trt" "block"
"1" "w1g1p3" 322 104 "w1g1p3" 56180.3703798692 5.61803703798692 57.3153928717032 18.5118039088731 "control" "g1"
"2" "w1g1p4" 119 83 "w1g1p4" 43242.9059105524 4.32429059105524 27.518964670448 19.1938997281276 "exclosure" "g1"
"3" "w1g2p3" 468 28 "w1g2p3" 33725.4286415353 3.37254286415353 138.767695134236 8.30234073452694 "exclosure" "g2"
"4" "w1g2p6" 478 51 "w1g2p6" 118631.299827804 11.8631299827804 40.2929075795196 4.29903407229185 "control" "g2"
"5" "w1g3p3" 626 83 "w1g3p3" 216253.237500987 21.6253237500987 28.9475435019623 3.83809282853494 "control" "g3"
"6" "w1g3p6" 860 109 "w1g3p6" 114771.51375771 11.477151375771 74.931485334899 9.49713011802789 "exclosure" "g3"
"7" "w1g4p1" 762 89 "w1g4p1" 193751.662840357 19.3751662840357 39.3286947234025 4.59350896375699 "control" "g4"
"8" "w1g4p2" 330 84 "w1g4p2" 148490.882579878 14.8490882579878 22.2235866786288 5.65691297274187 "exclosure" "g4"
"9" "w1g5p1" 645 53 "w1g5p1" 150770.013514703 15.0770013514703 42.7803901428383 3.51528787220222 "control" "g5"
"10" "w1g5p3" 80 21 "w1g5p3" 18639.3019808322 1.86393019808322 42.920062179511 11.2665163221216 "exclosure" "g5"
"11" "w1g6p2" 821 159 "w1g6p2" 234450.212523863 23.4450212523863 35.0180957893752 6.78182366688265 "exclosure" "g6"
"12" "w1g6p6" 112 37 "w1g6p6" 39616.363883635 3.9616363883635 28.2711458146379 9.33957495662144 "control" "g6"
