morph,morpfam,feed,type
cole001,weevil,herb,chewer
cole002,,,
cole003,,,
cole004,,,
cole005,,,
cole006,,,
cole007,,,
cole008,,,
cole009,weevil,herb,chewer
cole010,,,
cole011,,,
cole012,,,
cole013,,,
cole014,,,
cole015,,,
cole016,,,
cole017,,herb,chewer
cole018,,,
cole019,,,
cole020,,,
cole021,coccinellid?,,
cole022,cerambycid,,
cole023,chrysomelid,,
cole024,,,
cole025,chrysomelid,,
cole026,chrysomelid,,
cole027,,,
cole028,chrysomelid,,
cole029,chrysomelid,,
cole030,chrysomelid,,
cole031,,,
cole032,,,
cole033,,,
cole034,,,
cole035,,,
cole036,,,
cole037,,herb,chewer
cole038,,,
cole039,,,
cole040,,,
cole041,,,
cole042,chrysomelid,,
cole043,scarabid,herb,
cole044,anthicid,pollinator,
cole045,cerambycid,,
cole046,cerambycid,,
cole047,coccinellid?,,
cole048,coccinellid?,,
cole049,chrysomelid,,
cole050,chrysomelid,,
cole051,,,
cole052,,,
cole053,,,
cole054,,,
cole055,,,
cole056,,,
cole057,,,
cole058,,,
cole059,,,
cole060,weevil,,
cole061,chrysomelid,predator,
cole062,???,,
cole063,chrysomelid,,
cole064,chrysomelid,,
cole065,???,predator,
cole066,anthicid,,
cole067,elateroid,,
cole068,chrysomelid,,
cole069,chrysomelid,,
cole070,chrysomelid,,
cole071,,,
cole072,,,
cole073,,,
cole074,,,
cole075,,,
cole076,,,
cole077,,,
cole078,,,
cole079,,,
cole080,,,
cole081,,,
cole082,,,
cole083,,,
cole084,,,
cole085,,,
cole086,,,
cole087,,,
cole088,,,
cole089,,,
cole090,,,
cole091,,,
cole092,,,
cole093,,,
cole094,,,
cole095,,,
cole096,,,
cole097,,,
cole098,,,
cole099,,,
cole100,,,
cole101,,,
cole102,,,
cole103,,,
cole104,,,
cole105,,,
cole106,,,
cole107,,,
cole108,,,
cole109,,,
cole110,,,
cole111,,,
cole112,weevil,,
cole113,weevil,,
cole114,weevil,,
cole115,weevil,,
cole116,weevil,,
cole117,weevil,,
cole118,weevil,,
cole119,weevil,,
cole120,weevil,,
cole121,weevil,,
cole122,weevil,,
cole123,weevil,,
cole124,weevil,,
cole125,weevil,,
cole126,weevil,,
cole127,weevil,,
cole128,weevil,,
cole129,weevil,,
cole130,weevil,,
cole131,weevil,,
cole132,weevil,,
cole133,weevil,,
cole134,weevil,,
cole135,,,
cole136,,,
cole137,,,
cole138,,,
cole139,,,
cole140,,,
cole141,,,
cole142,,,
cole143,,,
cole144,,,
cole145,,,
cole146,,,
cole147,,,
cole148,,,
cole149,,,
cole150,,,
cole151,,,
cole152,,,
