"CODE" "PLOT" "BLOCK" "TREAT" "SPEC" "SP_CODE" "LIFE.FORM" "BASAL_A" "HEIGHT_M" "LEAVES" "TRUNK" "WEIGHT"
"723" "w1g1p1" "P1" "WG1" "FUNGICIDE" "Commersonia bartramia" "commba" "tree" 31.17 6 4.2 15.11 19.31
"724" "w1g1p1" "P1" "WG1" "FUNGICIDE" "Trema orientalis" "tremor" "tree" 26.39 2.46 3.85 11.295 15.145
"725" "w1g1p1" "P1" "WG1" "FUNGICIDE" "Macaranga quadriglandulosa" "macaqu" "tree" 23.26 2.87 3.87 6.72 10.59
"726" "w1g1p1" "P1" "WG1" "FUNGICIDE" "Paspalum sp. 1" "pasps1" "grass" NA NA 2.43 NA 2.43
"727" "w1g1p1" "P1" "WG1" "FUNGICIDE" "Paspalum conjugatum" "paspco" "grass" NA NA 1.89 NA 1.89
"728" "w1g1p1" "P1" "WG1" "FUNGICIDE" "Lepistemon urceolatus" "lepiur" "vine" NA NA 0.365 NA 0.365
"729" "w1g1p1" "P1" "WG1" "FUNGICIDE" "Ipomea sp. 1" "ipoms1" "vine" NA NA 7.5 NA 7.5
"730" "w1g1p1" "P1" "WG1" "FUNGICIDE" "Euphorbia geniculata" "euphge" "herb" NA NA 0.32 NA 0.32
"731" "w1g1p1" "P1" "WG1" "FUNGICIDE" "Hyptis capitata" "hyptca" "herb" NA NA 0.16335 NA 0.16335
"732" "w1g1p1" "P1" "WG1" "FUNGICIDE" "Calopogonium mucunoides" "calomu" "vine" NA NA 0.06844 NA 0.06844
"733" "w1g1p1" "P1" "WG1" "FUNGICIDE" "Trema orientalis" "tremor" "tree" NA NA 0.07295 1.2 1.27295
"734" "w1g1p1" "P1" "WG1" "FUNGICIDE" "Marsdenia velutina" "marsve" "vine" NA NA 0.00559 NA 0.00559
"735" "w1g1p1" "P1" "WG1" "FUNGICIDE" "Sorghum propinquum" "sorgpr" "grass" NA NA 0.08912 NA 0.08912
