"morph" "size" "group" "a" "b" "bio"
"1" "aran001" 0.5645 "aran" -2.13 2.23 0.0332019318425115
"2" "aran002" 0.5725 "aran" -2.13 2.23 0.0342603739143552
"3" "aran003" 0.58675 "aran" -2.13 2.23 0.0361912149449941
"4" "aran004" 0.5355 "aran" -2.13 2.23 0.0295179629414196
"5" "aran005" 0.711071428571429 "aran" -2.13 2.23 0.0555545013164015
"6" "aran006" 0.60175 "aran" -2.13 2.23 0.0382869396914998
"7" "aran007" 0.85 "aran" -2.13 2.23 0.0827097975673808
"8" "aran008" 0.646 "aran" -2.13 2.23 0.0448509109926911
"9" "aran009" 0.6805 "aran" -2.13 2.23 0.0503685539161162
"10" "aran010" 0.372857142857143 "aran" -2.13 2.23 0.0131671703924942
"11" "aran011" 0.52675 "aran" -2.13 2.23 0.0284531849783977
"12" "aran012" 0.3995 "aran" -2.13 2.23 0.0153580183121796
"13" "aran013" 0.93 "aran" -2.13 2.23 0.101081046329017
"14" "aran014" 0.826 "aran" -2.13 2.23 0.0775922345386636
"15" "aran015" 0.32375 "aran" -2.13 2.23 0.00960993735156121
"16" "aran016" 0.543461538461538 "aran" -2.13 2.23 0.0305055745128919
"17" "aran017" 0.623333333333333 "aran" -2.13 2.23 0.0414170476924715
"18" "aran018" 0.438125 "aran" -2.13 2.23 0.0188675874802011
"19" "aran019" 0.45175 "aran" -2.13 2.23 0.0202011295179744
"20" "aran020" 0.283846153846154 "aran" -2.13 2.23 0.00716684273114206
"21" "aran021" 0.448 "aran" -2.13 2.23 0.0198290872977755
"22" "aran022" 0.3905 "aran" -2.13 2.23 0.0145971364854688
"23" "aran023" 0.261 "aran" -2.13 2.23 0.00594375753590718
"24" "aran024" 0.46975 "aran" -2.13 2.23 0.0220402081899842
"25" "aran025" 0.6755 "aran" -2.13 2.23 0.0495469917660619
"26" "aran026" 0.4225 "aran" -2.13 2.23 0.0173998828460084
"27" "aran027" 0.34 "aran" -2.13 2.23 0.0107189128164393
"28" "aran028" 0.255 "aran" -2.13 2.23 0.00564335480669955
"29" "aran029" 0.504166666666667 "aran" -2.13 2.23 0.0258043581088547
"30" "aran030" 3.5 "aran" -2.13 2.23 1.94188940600749
"31" "aran031" 0.727142857142857 "aran" -2.13 2.23 0.0583935365819713
"32" "aran032" 0.5325 "aran" -2.13 2.23 0.0291504651113994
"33" "aran033" 0.88 "aran" -2.13 2.23 0.0893612247545838
"34" "aran034" 0.5825 "aran" -2.13 2.23 0.0356092377082067
"35" "aran035" 0.599411764705882 "aran" -2.13 2.23 0.0379559695197689
"36" "aran036" 0.40775 "aran" -2.13 2.23 0.0160742717430552
"37" "aran037" 0.414 "aran" -2.13 2.23 0.0166288997170666
"38" "aran038" 0.534 "aran" -2.13 2.23 0.0293338965951524
