"morph" "size" "group" "a" "b" "bio"
"1" "aran001" 0.5645 "aran" -2.13 2.23 5.63849700010126
"2" "aran002" 0.5725 "aran" -2.13 2.23 5.81824625310196
"3" "aran003" 0.58675 "aran" -2.13 2.23 6.14615010552149
"4" "aran004" 0.5355 "aran" -2.13 2.23 5.01286931988668
"5" "aran005" 0.711071428571429 "aran" -2.13 2.23 9.43450792262564
"6" "aran006" 0.60175 "aran" -2.13 2.23 6.50205523032751
"7" "aran007" 0.85 "aran" -2.13 2.23 14.04613887152
"8" "aran008" 0.646 "aran" -2.13 2.23 7.61677749004644
"9" "aran009" 0.6805 "aran" -2.13 2.23 8.55380769717215
"10" "aran010" 0.372857142857143 "aran" -2.13 2.23 2.23610635399355
"11" "aran011" 0.52675 "aran" -2.13 2.23 4.83204407818838
"12" "aran012" 0.3995 "aran" -2.13 2.23 2.60816571130502
"13" "aran013" 0.93 "aran" -2.13 2.23 17.1660245312445
"14" "aran014" 0.826 "aran" -2.13 2.23 13.1770519785608
"15" "aran015" 0.32375 "aran" -2.13 2.23 1.63200151078439
"16" "aran016" 0.543461538461538 "aran" -2.13 2.23 5.18058982812174
"17" "aran017" 0.623333333333333 "aran" -2.13 2.23 7.03362383474451
"18" "aran018" 0.438125 "aran" -2.13 2.23 3.20417606755181
"19" "aran019" 0.45175 "aran" -2.13 2.23 3.43064399764577
"20" "aran020" 0.283846153846154 "aran" -2.13 2.23 1.21710451763536
"21" "aran021" 0.448 "aran" -2.13 2.23 3.36746216375571
"22" "aran022" 0.3905 "aran" -2.13 2.23 2.47894943805652
"23" "aran023" 0.261 "aran" -2.13 2.23 1.0093948507126
"24" "aran024" 0.46975 "aran" -2.13 2.23 3.7429643657576
"25" "aran025" 0.6755 "aran" -2.13 2.23 8.41428642652889
"26" "aran026" 0.4225 "aran" -2.13 2.23 2.95492405968117
"27" "aran027" 0.34 "aran" -2.13 2.23 1.82033256518088
"28" "aran028" 0.255 "aran" -2.13 2.23 0.958379147906698
"29" "aran029" 0.504166666666667 "aran" -2.13 2.23 4.38220873642122
"30" "aran030" 3.5 "aran" -2.13 2.23 329.780135753493
"31" "aran031" 0.727142857142857 "aran" -2.13 2.23 9.91664528451254
"32" "aran032" 0.5325 "aran" -2.13 2.23 4.95045923417415
"33" "aran033" 0.88 "aran" -2.13 2.23 15.1757132715679
"34" "aran034" 0.5825 "aran" -2.13 2.23 6.04731619069635
"35" "aran035" 0.599411764705882 "aran" -2.13 2.23 6.4458484309979
"36" "aran036" 0.40775 "aran" -2.13 2.23 2.72980299555887
"37" "aran037" 0.414 "aran" -2.13 2.23 2.82399233919313
"38" "aran038" 0.534 "aran" -2.13 2.23 4.98161036946867
"39" "aran039" 0.45375 "aran" -2.13 2.23 3.46460602572472
"40" "aran040" 0.64425 "aran" -2.13 2.23 7.57084101508172
"41" "aran041" 0.5105 "aran" -2.13 2.23 4.50591783426735
"42" "aran042" 0.243666666666667 "aran" -2.13 2.23 0.865980486796321
"43" "aran043" 0.284545454545455 "aran" -2.13 2.23 1.22380137939612
"44" "aran044" 0.3125 "aran" -2.13 2.23 1.50823252426689
"45" "aran045" 0.3975 "aran" -2.13 2.23 2.57913788057904
"46" "aran046" 0.57175 "aran" -2.13 2.23 5.80126253678602
"47" "aran047" 0.35 "aran" -2.13 2.23 1.94188940600749
"48" "aran048" 0.425 "aran" -2.13 2.23 2.99405702411904
"49" "aran049" 0.209375 "aran" -2.13 2.23 0.617468933416965
"50" "aran050" 1.42571428571429 "aran" -2.13 2.23 44.5087329686324
"51" "aran051" 0.671388888888889 "aran" -2.13 2.23 8.30051630952675
"52" "aran052" 0.579 "aran" -2.13 2.23 5.96658663066936
"53" "aran053" 0.23 "aran" -2.13 2.23 0.761387649567075
"54" "aran054" 0.331666666666667 "aran" -2.13 2.23 1.72233578721812
"55" "aran055" 0.383636363636364 "aran" -2.13 2.23 2.38283423586557
"56" "aran056" 0.3505 "aran" -2.13 2.23 1.94808114653527
"57" "aran057" 0.462692307692308 "aran" -2.13 2.23 3.61871629917148
"58" "aran058" 0.79875 "aran" -2.13 2.23 12.2272557521083
"59" "aran059" 0.57025 "aran" -2.13 2.23 5.76737723763292
"60" "aran060" 1.01866666666667 "aran" -2.13 2.23 21.0312131913565
"61" "aran061" 0.568333333333333 "aran" -2.13 2.23 5.72423863219624
"62" "aran062" 0.375 "aran" -2.13 2.23 2.26486583494465
"63" "aran063" 0.235 "aran" -2.13 2.23 0.798792698385103
"64" "aran064" 0.5975 "aran" -2.13 2.23 6.40009310638966
"65" "aran065" 0.405 "aran" -2.13 2.23 2.68891736186617
"66" "aran066" 0.679 "aran" -2.13 2.23 8.51181841631896
"67" "aran067" 0.3175 "aran" -2.13 2.23 1.5625764354635
"68" "aran068" 0.265 "aran" -2.13 2.23 1.04421770477152
"69" "aran069" 0.373333333333333 "aran" -2.13 2.23 2.24247983313264
"70" "aran070" 0.2625 "aran" -2.13 2.23 1.02237709188792
"71" "aran071" 0.678 "aran" -2.13 2.23 8.48388886585269
"72" "aran072" 0.468 "aran" -2.13 2.23 3.71194049792966
"73" "aran073" 0.42025 "aran" -2.13 2.23 2.91994703509741
"74" "aran074" 0.277777777777778 "aran" -2.13 2.23 1.15984025217927
"75" "aran075" 0.295833333333333 "aran" -2.13 2.23 1.33471272859841
"76" "aran076" 0.2325 "aran" -2.13 2.23 0.779966496877368
"77" "aran077" 0.72275 "aran" -2.13 2.23 9.78354433314662
"78" "aran078" 0.6005 "aran" -2.13 2.23 6.47197408668197
"79" "aran079" 0.478125 "aran" -2.13 2.23 3.89341047165873
"80" "aran080" 0.35125 "aran" -2.13 2.23 1.95738914679891
"81" "aran081" 0.58 "aran" -2.13 2.23 5.9895911605995
"82" "aran082" 0.4425 "aran" -2.13 2.23 3.27596578227594
"83" "aran083" 0.48375 "aran" -2.13 2.23 3.99629495303702
"84" "aran084" 0.573333333333333 "aran" -2.13 2.23 5.83714917207813
"85" "aran085" 0.365 "aran" -2.13 2.23 2.13238609204006
"86" "aran086" 0.735277777777778 "aran" -2.13 2.23 10.1657509544295
"87" "aran087" 1.04875 "aran" -2.13 2.23 22.4414676115272
"88" "aran088" 0.7 "aran" -2.13 2.23 9.11006305163489
"89" "aran089" 0.530416666666667 "aran" -2.13 2.23 4.90737249774886
"90" "aran090" 0.575 "aran" -2.13 2.23 5.87505649541388
"91" "aran091" 0.5 "aran" -2.13 2.23 4.30185594513447
"92" "aran092" 0.48375 "aran" -2.13 2.23 3.99629495303702
"93" "aran093" 0.68 "aran" -2.13 2.23 8.53979860667622
"94" "aran094" 0.78 "aran" -2.13 2.23 11.5964141594827
"95" "aran095" 0.505 "aran" -2.13 2.23 4.39837776219342
"96" "aran096" 0.52 "aran" -2.13 2.23 4.69504987243117
"97" "aran097" 1.4 "aran" -2.13 2.23 42.7384013466537
"98" "aran098" 1.13 "aran" -2.13 2.23 26.5043820142928
"99" "aran099" 0.251875 "aran" -2.13 2.23 0.932385358628624
