"morph" "nospec" "r_cm_size"
"1" "mant001" 1 2.7
"2" "mant001" 2 2.7
"3" "mant001" 3 3.5
"4" "mant001" 4 2.7
"5" "mant001" 5 2
"6" "mant001" 6 1.6
"7" "mant001" 7 3
"8" "mant001" 8 3.5
"9" "mant001" 9 2.2
"10" "mant001" 10 3
"11" "mant001" 11 3.5
"12" "mant001" 12 4
"13" "mant001" 13 3.8
"14" "mant001" 14 4.3
"15" "mant001" 15 2.4
"16" "mant001" 16 2.4
"17" "mant001" 17 4
"18" "mant001" 18 3.8
"19" "mant001" 19 5.3
"20" "mant001" 20 3.5
"21" "mant002" 1 1.5
"22" "mant002" 2 1.6
"23" "mant002" 3 0.87
"24" "mant002" 4 0.81
"25" "mant002" 5 1.5
"26" "mant002" 6 1.1
"27" "mant002" 7 0.91
"28" "mant002" 8 1.2
"29" "mant002" 9 1.6
"30" "mant002" 10 1.3
"31" "mant002" 11 1.3
"32" "mant002" 12 1.3
"33" "mant002" 13 0.87
"34" "mant002" 14 1.3
"35" "mant002" 15 1.01
"36" "mant002" 16 1.1
"37" "mant002" 17 1.4
"38" "mant002" 18 1.5
"39" "mant002" 19 1.1
"40" "mant002" 20 0.93
"41" "mant003" 1 6.6
"42" "mant003" 2 6.5
"43" "mant003" 3 6.7
"44" "mant003" 4 5.9
"45" "mant003" 5 7.5
"46" "mant003" 6 6.5
"47" "mant003" 7 6.9
"48" "mant003" 8 6.5
"49" "mant003" 9 7
"50" "mant003" 10 7
"51" "mant003" 11 6.4
"52" "mant003" 12 7
"53" "mant003" 13 6.5
"54" "mant003" 14 6.6
"55" "mant003" 15 6.1
"56" "mant003" 16 6.5
"57" "mant003" 17 6.7
"58" "mant003" 18 6.3
"59" "mant003" 19 7.7
"60" "mant003" 20 9.3
"61" "mant004" 1 2.7
"62" "mant004" 2 0.89
"63" "mant004" 3 0.86
"64" "mant004" 4 2.8
"65" "mant004" 5 2.3
"66" "mant004" 6 0.83
"67" "mant004" 7 0.81
"68" "mant004" 8 0.75
"69" "mant004" 9 0.77
"70" "mant004" 10 0.81
"71" "mant005" 1 2.6
"72" "mant005" 2 2.1
"73" "mant005" 3 1.6
"74" "mant005" 4 0.93
"75" "mant005" 5 1.9
"76" "mant005" 6 2.3
"77" "mant005" 7 1.9
"78" "mant005" 8 0.92
"79" "mant005" 9 1.6
"80" "mant006" 1 5.8
"81" "mant006" 2 2.4
"82" "mant006" 3 2.5
"83" "mant006" 4 4.5
"84" "mant006" 5 5.4
"85" "mant006" 6 2.1
"86" "mant006" 7 2.2
"87" "mant006" 8 1.2
"88" "mant006" 9 2.2
"89" "mant006" 10 3.6
"90" "mant006" 11 5.8
"91" "mant006" 12 1.7
"92" "mant006" 13 5.3
"93" "mant007" 1 1.2
"94" "mant007" 2 1.8
"95" "mant007" 3 3.4
"96" "mant007" 4 1.2
