morphotype,Nr. of specimen,Size,Scale,scl,
mant001,1,2.7,cm,1,
mant001,2,2.7,cm,1,
mant001,3,3.5,cm,1,
mant001,4,2.7,cm,1,
mant001,5,2,cm,1,
mant001,6,1.6,cm,1,
mant001,7,3,cm,1,
mant001,8,3.5,cm,1,
mant001,9,2.2,cm,1,
mant001,10,3,cm,1,
mant001,11,3.5,cm,1,
mant001,12,4,cm,1,
mant001,13,3.8,cm,1,
mant001,14,4.3,cm,1,
mant001,15,2.4,cm,1,
mant001,16,2.4,cm,1,
mant001,17,4,cm,1,
mant001,18,3.8,cm,1,
mant001,19,5.3,cm,1,
mant001,20,3.5,cm,1,
mant002,1,1.5,cm,1,
mant002,2,1.6,cm,1,
mant002,3,8.7,1 cm,1,
mant002,4,8.1,1 cm,1,
mant002,5,1.5,cm,1,
mant002,6,1.1,cm,1,
mant002,7,9.1,1 cm,1,
mant002,8,1.2,cm,1,
mant002,9,1.6,cm,1,
mant002,10,1.3,cm,1,
mant002,11,1.3,cm,1,
mant002,12,1.3,cm,1,
mant002,13,8.7,1 cm,1,
mant002,14,1.3,cm,1,
mant002,15,10.1,1 cm,1,
mant002,16,1.1,cm,1,
mant002,17,1.4,cm,1,
mant002,18,1.5,cm,1,
mant002,19,1.1,cm,1,
mant002,20,9.3,1 cm,1,
mant003,1,6.6,cm,1,
mant003,2,6.5,cm,1,
mant003,3,6.7,cm,1,
mant003,4,5.9,cm,1,
mant003,5,7.5,cm,1,
mant003,6,6.5,cm,1,
mant003,7,6.9,cm,1,
mant003,8,6.5,cm,1,
mant003,9,7,cm,1,
mant003,10,7,cm,1,
mant003,11,6.4,cm,1,
mant003,12,7,cm,1,
mant003,13,6.5,cm,1,
mant003,14,6.6,cm,1,
mant003,15,6.1,cm,1,
mant003,16,6.5,cm,1,
mant003,17,6.7,cm,1,
mant003,18,6.3,cm,1,
mant003,19,7.7,cm,1,
mant003,20,9.3,cm,1,
mant004,1,2.7,cm,1,
mant004,2,8.9,1 cm,1,
mant004,3,8.6,1 cm,1,
mant004,4,2.8,cm,1,
mant004,5,2.3,cm,1,
mant004,6,8.3,1 cm,1,
mant004,7,8.1,1 cm,1,
mant004,8,7.5,1 cm,1,
mant004,9,7.7,1 cm,1,
mant004,10,8.1,1 cm,1,
mant005,1,2.6,cm,1,
mant005,2,2.1,cm,1,
mant005,3,1.6,cm,1,
mant005,4,9.3,1 cm,1,
mant005,5,1.9,cm,1,
mant005,6,2.3,cm,1,
mant005,7,1.9,cm,1,
mant005,8,9.2,1 cm,1,
mant005,9,1.6,cm,1,
mant006,1,5.8,cm,1,
mant006,2,2.4,cm,1,
mant006,3,2.5,cm,1,
mant006,4,4.5,cm,1,
mant006,5,5.4,cm,1,
mant006,6,2.1,cm,1,
mant006,7,2.2,cm,1,
mant006,8,1.2,cm,1,
mant006,9,2.2,cm,1,
mant006,10,3.6,cm,1,
mant006,11,5.8,cm,1,
mant006,12,1.7,cm,1,
mant006,13,5.3,cm,1,
mant007,1,1.2,cm,1,
mant007,2,1.8,cm,1,
mant007,3,3.4,cm,1,
mant007,4,1.2,cm,1,
mant007,5,1.1,cm,1,
mant007,6,2.2,cm,1,
mant007,7,9.6,1 cm,1,
mant007,8,1.1,cm,1,
mant007,9,1.1,cm,1,
mant007,10,2,cm,1,
mant007,11,1.5,cm,1,
mant007,12,1.5,cm,1,
mant007,13,10,1 cm,1,
mant007,14,9.4,1 cm,1,
mant007,15,1,cm,1,
mant007,16,9.7,1 cm,1,
mant007,17,9.3,1 cm,1,
mant007,18,9.3,1 cm,1,
mant007,19,1.1,cm ,1,
mant007,20,9.1,cm,1,
mant008,1,6.1,cm,1,
mant008,2,6,cm,1,
mant008,3,6.1,cm,1,
mant009,1,1.7,cm,1,
mant009,2,2.1,cm,1,
mant009,3,3.2,cm,1,
mant009,4,1.3,cm,1,
mant010,1,7,cm,1,
mant010,2,7.1,cm,1,
mant010,3,6.5,cm,1,
mant010,4,7.5,cm,1,
mant010,5,6.6,cm,1,
mant011,1,4.6,cm,1,
mant011,2,7,cm,1,
mant011,3,2.2,cm,1,
mant011,4,5.9,cm,1,
mant011,5,4.3,cm,1,
mant011,6,4.7,cm,1,
mant011,7,3.2,cm,1,
mant011,8,3.3,cm,1,
mant012,1,6.4,cm,1,
mant012,2,5.3,cm,1,
mant012,3,6,cm,1,
mant013,1,3.1,cm,1,
mant013,2,2.9,cm,1,
mant013,3,2.9,cm,1,
mant014,1,1.2,cm,1,
mant014,2,1.3,cm,1,
mant014,3,1.7,cm,1,
mant014,4,1.6,cm,1,
aran001,1,7.5,1 cm,1,
aran001,2,7.2,"0,5 cm",0.5,
aran001,3,5.7,1 cm,1,
aran001,4,9.3,"0,5 cm",0.5,
aran001,5,1.1,cm,1,
aran001,6,6.8,"0,5 cm",0.5,
aran001,7,8.6,"0,5 cm",0.5,
aran001,8,9.2,"0,5 cm",0.5,
aran001,9,7.7,1 cm,1,
aran001,10,9.3,"0,5 cm",0.5,
aran001,11,7.2,1 cm,1,
aran001,12,5.3,1 cm,1,
aran001,13,6.1,1 cm,1,
aran001,14,7.8,1 cm,1,
aran001,15,7.9,"0,5 cm",0.5,
aran001,16,6,1 cm,1,
aran001,17,7.5,"0,5 cm",0.5,
aran001,18,6.8,1 cm,1,
aran001,19,7.9,"0,5 cm",0.5,
aran001,20,9.9,"0,5 cm",0.5,
aran002,1,6.9,1 cm,1,
aran002,2,7.2,1 cm,1,
aran002,3,6.6,1 cm,1,
aran002,4,5.1,1 cm,1,
aran002,5,5.3,1 cm,1,
aran002,6,5.7,1 cm,1,
aran002,7,6.6,1 cm,1,
aran002,8,5.6,1 cm,1,
aran002,9,4.8,"0,5 cm",0.5,
aran002,10,5.3,1 cm,1,
aran002,11,5.6,1 cm,1,
aran002,12,6.4,1 cm,1,
aran003,1,6.2,1 cm,1,
aran003,2,6.5,1 cm,1,
aran003,3,6,1 cm,1,
aran003,4,8.8,1 cm,1,
aran003,5,6.6,"0,5 cm",0.5,
aran003,6,6.6,1 cm,1,
aran003,7,6.6,"0,5 cm",0.5,
aran003,8,8.9,"0,5 cm",0.5,
aran003,9,7.2,1 cm,1,
aran003,10,7,1 cm,1,
aran003,11,7.6,"0,5 cm",0.5,
aran003,12,5.8,1 cm,1,
aran003,13,6.5,1 cm,1,
aran003,14,6.2,1 cm,1,
aran003,15,9.2,"0,5 cm",0.5,
aran003,16,5.4,1 cm,1,
aran003,17,7.4,"0,5 cm",0.5,
aran003,18,8.6,1 cm,1,
aran003,19,5.5,1 cm,1,
aran003,20,7.9,1 cm,1,
aran004,1,6.2,1 cm,1,
aran004,2,8,"0,5 cm",0.5,
aran004,3,6,1 cm,1,
aran004,4,6,1 cm,1,
aran004,5,6,1 cm,1,
aran004,6,6.9,1 cm,1,
aran004,7,5.2,1 cm,1,
aran004,8,5.3,1 cm,1,
aran004,9,7.2,"0,5 cm",0.5,
aran004,10,8.7,"0,5 cm",0.5,
aran005,1,9.5,"0,5 cm",0.5,
aran005,2,6.3,1 cm,1,
aran005,3,7.6,1 cm,1,
aran005,4,7.5,1 cm,1,
aran005,5,7.4,1 cm,1,
aran005,6,7.3,"0,5 cm",0.5,
