"morphotype" "amount" "plot" "tree" "date" "adult.larvae" "family"
"1" "orth020" 64 "w1g5p5" "piptar" "7/22/2016" "" "orth"
"2" "orth015" 10 "w1g5p5" "piptar" "7/22/2016" "" "orth"
"3" "orth024" 1 "w1g5p5" "piptar" "7/22/2016" "A" "orth"
"4" "orth003" 3 "w1g5p5" "piptar" "7/22/2016" "" "orth"
"5" "orth019" 3 "w1g5p5" "piptar" "7/22/2016" "" "orth"
"6" "orth029" 2 "w1g5p5" "piptar" "7/22/2016" "" "orth"
"7" "orth033" 13 "w1g5p5" "piptar" "7/22/2016" "L" "orth"
"8" "orth026" 1 "w1g5p5" "piptar" "7/22/2016" "A" "orth"
"9" "orth034" 1 "w1g5p5" "piptar" "7/22/2016" "" "orth"
"10" "orth035" 3 "w1g5p5" "piptar" "7/22/2016" "L" "orth"
"11" "orth036" 1 "w1g5p5" "piptar" "7/22/2016" "L" "orth"
"12" "orth018" 1 "w1g5p5" "piptar" "7/22/2016" "" "orth"
"13" "orth037" 3 "w1g5p5" "piptar" "7/22/2016" "L" "orth"
"14" "orth012" 1 "w1g5p5" "piptar" "7/22/2016" "" "orth"
"15" "orth031" 2 "w1g5p5" "piptar" "7/22/2016" "" "orth"
"16" "orth038" 1 "w1g5p5" "piptar" "7/22/2016" "L" "orth"
"17" "orth039" 1 "w1g5p5" "piptar" "7/22/2016" "A" "orth"
"18" "orth040" 1 "w1g5p5" "piptar" "7/22/2016" "A" "orth"
"19" "orth041" 2 "w1g5p5" "piptar" "7/22/2016" "A" "orth"
"20" "orth042" 1 "w1g5p5" "piptar" "7/22/2016" "L" "orth"
"21" "orth043" 2 "w1g5p3" "piptar" "7/18/2016" "L" "orth"
"22" "orth024" 2 "w1g5p3" "piptar" "7/18/2016" "" "orth"
"23" "orth018" 1 "w1g5p3" "piptar" "7/18/2016" "" "orth"
"24" "orth012" 2 "w1g5p3" "piptar" "7/18/2016" "L" "orth"
"25" "orth031" 2 "w1g5p3" "piptar" "7/18/2016" "" "orth"
"26" "orth044" 2 "w1g5p3" "piptar" "7/18/2016" "" "orth"
"27" "orth037" 1 "w1g5p3" "prems1" "7/18/2016" "L" "orth"
"28" "orth045" 1 "w1g4p6" "melos1" "7/25/2016" "L" "orth"
"29" "orth018" 4 "w1g5p3" "prems1" "7/18/2016" "" "orth"
"30" "orth006" 1 "w1g5p3" "prems1" "7/18/2016" "" "orth"
"31" "orth013" 1 "w1g5p3" "prems1" "7/18/2016" "" "orth"
"32" "orth016" 1 "w1g5p3" "prems1" "7/18/2016" "" "orth"
"33" "orth046" 2 "w1g5p3" "prems1" "7/18/2016" "L" "orth"
"34" "orth047" 1 "w1g5p3" "prems1" "7/18/2016" "L" "orth"
"35" "orth017" 1 "w1g5p3" "prems1" "7/18/2016" "" "orth"
"36" "orth048" 1 "w1g5p3" "prems1" "7/18/2016" "L" "orth"
"37" "orth020" 1 "w1g6p4" "premob" "7/9/2016" "" "orth"
"38" "orth001" 1 "w1g6p4" "premob" "7/9/2016" "" "orth"
"39" "orth024" 5 "w1g6p4" "premob" "7/9/2016" "" "orth"
"40" "orth030" 1 "w1g6p4" "premob" "7/9/2016" "L" "orth"
"41" "orth045" 1 "w1g6p4" "premob" "7/9/2016" "" "orth"
"42" "orth018" 2 "w1g6p4" "premob" "7/9/2016" "" "orth"
"43" "orth045" 5 "w1g6p4" "melamu" "7/9/2016" "" "orth"
"44" "orth024" 15 "w1g6p4" "melamu" "7/9/2016" "" "orth"
"45" "orth043" 1 "w1g6p4" "melamu" "7/9/2016" "" "orth"
"46" "orth032" 2 "w1g6p4" "melamu" "7/9/2016" "" "orth"
"47" "orth002" 1 "w1g6p4" "melamu" "7/9/2016" "" "orth"
"48" "orth019" 3 "w1g6p4" "melamu" "7/9/2016" "" "orth"
"49" "orth018" 14 "w1g6p4" "melamu" "7/9/2016" "" "orth"
"50" "orth030" 1 "w1g6p4" "melamu" "7/9/2016" "" "orth"
"51" "orth044" 1 "w1g6p4" "melamu" "7/9/2016" "" "orth"
"52" "orth013" 1 "w1g6p4" "melamu" "7/9/2016" "L" "orth"
"53" "orth026" 1 "w1g6p4" "melamu" "7/9/2016" "" "orth"
