morph,abu,code,plant
hemi001,23,w1g6p4,tremor
hemi002,1,w1g6p4,tremor
homo001,2,w1g6p4,tremor
homo002,4,w1g6p4,tremor
homo003,2,w1g6p4,tremor
homo004,1,w1g6p4,tremor
homo005,1,w1g6p4,tremor
hemi003,1,w1g6p4,tremor
hemi004,2,w1g6p4,tremor
hemi005,1,w1g6p4,tremor
hemi006,5,w1g6p4,tremor
hemi007,1,w1g6p4,tremor
homo003,1,w1g6p4,melamu
homo001,1,w1g6p4,melamu
homo002,3,w1g6p4,melamu
homo004,4,w1g6p4,melamu
hemi006,2,w1g6p4,melamu
hemi003,1,w1g6p4,melamu
hemi001,3,w1g6p4,melamu
hemi008,13,w1g6p4,melamu
hemi009,8,w1g6p4,melamu
hemi010,3,w1g6p4,melamu
hemi011,13,w1g6p4,melamu
hemi012,13,w1g6p4,melamu
hemi001,3,w1g6p4,tricpl
hemi004,2,w1g6p4,tricpl
homo003,1,w1g6p4,tricpl
homo004,6,w1g6p4,tricpl
homo002,7,w1g6p4,tricpl
homo002,5,w1g6p4,premob
homo004,2,w1g6p4,premob
homo003,1,w1g6p4,premob
hemi012,1,w1g6p4,premob
hemi002,2,w1g3p2,piptar
hemi001,1,w1g3p2,piptar
hemi006,3,w1g3p2,piptar
hemi020,1,w1g3p2,piptar
homo001,3,w1g3p2,piptar
homo004,30,w1g3p2,piptar
homo006,5,w1g3p2,piptar
homo007,1,w1g3p2,piptar
hemi009,1,w1g3p2,piptar
hemi013,1,w1g3p2,piptar
hemi014,4,w1g3p2,piptar
hemi015,1,w1g3p2,piptar
hemi016,1,w1g3p2,piptar
hemi017,7,w1g3p2,piptar
hemi018,1,w1g3p2,piptar
homo008,2,w1g3p2,piptar
homo009,3,w1g3p2,piptar
homo010,1,w1g3p2,piptar
homo004,1,w1g3p2,homano
homo008,1,w1g3p2,melamu
homo004,26,w1g3p2,melamu
hemi012,1,w1g3p2,melamu
hemi009,2,w1g3p2,melamu
homo005,2,w1g3p2,ficucp
homo004,29,w1g3p2,ficucp
hemi012,1,w1g3p2,ficucp
hemi014,2,w1g3p2,ficucp
hemi017,2,w1g3p2,ficucp
hemi019,10,w1g3p2,ficucp
hemi021,2,w1g3p2,ficucp
homo008,3,w1g3p2,ficucp
hemi022,1,w1g3p2,ficucp
homo005,1,w1g1p4,piptar
homo004,1,w1g1p4,piptar
homo001,1,w1g1p4,cordte
homo004,1,w1g1p4,commba
homo004,1,w1g1p4,trems1
hemi023,1,w1g1p4,trems1
homo011,8,w1g1p4,trems1
homo011,4,w1g1p4,piptar
homo004,1,w1g4p6,macata
hemi012,1,w1g4p6,macata
homo012,1,w1g4p6,tricpl
homo004,11,w1g4p6,tricpl
homo002,1,w1g4p6,tricpl
hemi024,1,w1g4p6,tricpl
homo004,1,w1g4p6,melamu
homo001,1,w1g4p6,melamu
hemi011,15,w1g4p6,melamu
hemi010,15,w1g4p6,melamu
hemi012,19,w1g4p6,melamu
hemi009,48,w1g4p6,melamu
hemi008,47,w1g4p6,melamu
hemi025,1,w1g4p6,melamu
hemi026,1,w1g4p6,melamu
homo001,1,w1g4p6,premob
homo012,1,w1g4p6,premob
hemi006,2,w1g4p6,premob
hemi009,2,w1g4p6,premob
hemi027,2,w1g4p6,melos1
hemi028,2,w1g4p6,melos1
hemi025,2,w1g4p6,melos1
hemi023,1,w1g4p6,melos1
hemi011,7,w1g4p6,melos1
hemi012,12,w1g4p6,melos1
hemi008,5,w1g4p6,melos1
hemi010,4,w1g4p6,melos1
hemi009,12,w1g4p6,melos1
homo004,7,w1g1p2,trems1
homo005,1,w1g1p2,trems1
homo001,2,w1g1p2,trems1
homo002,1,w1g1p2,trems1
hemi006,1,w1g1p2,trems1
homo011,5,w1g1p2,trems1
homo004,3,w1g4p2,melamu
hemi011,4,w1g4p2,melamu
hemi012,4,w1g4p2,melamu
hemi008,1,w1g4p2,melamu
hemi009,1,w1g4p2,melamu
hemi29,1,w1g4p2,homano
hemi012,1,w1g4p2,homano
hemi011,6,w1g4p2,melos1
hemi012,1,w1g4p2,melos1
homo004,1,w1g4p2,melos1
homo013,1,w1g4p2,piptar
homo004,2,w1g4p2,piptar
homo006,2,w1g4p2,piptar
hemi002,1,w1g4p2,piptar
hemi002,5,w1g4p2,tricpl
hemi012,4,w1g4p2,tricpl
hemi011,4,w1g4p2,tricpl
hemi006,10,w1g4p2,tricpl
homo014,1,w1g4p2,tricpl
homo004,7,w1g4p2,tricpl
hemi030,1,w1g2p2,tremor
hemi006,2,w1g2p2,tremor
homo002,3,w1g2p2,tremor
homo004,11,w1g2p2,tremor
homo005,1,w1g2p2,tremor
homo012,6,w1g2p2,tremor
homo015,1,w1g2p2,tremor
homo016,3,w1g2p2,tremor
homo017,2,w1g2p2,tremor
hemi002,2,w1g5p6,piptar
homo011,1,w1g2p2,tremor
hemi012,1,w1g2p2,tremor
hemi009,1,w1g2p2,tremor
hemi031,1,w1g2p2,tremor
homo004,1,w1g2p2,tremor
