morph,abu,code,plant
aran001,1,w1g5p3,piptar
aran002,1,w1g5p3,piptar
aran003,2,w1g5p3,piptar
aran004,1,w1g5p3,piptar
aran005,1,w1g5p3,piptar
aran006,1,w1g5p3,piptar
aran007,1,w1g5p3,premob
aran008,1,w1g5p3,premob
aran009,3,w1g5p3,premob
aran010,1,w1g5p3,premob
aran011,1,w1g5p3,premob
aran012,1,w1g5p3,premob
aran013,1,w1g5p3,premob
aran014,1,w1g5p3,premob
aran003,1,w1g5p3,premob
aran006,1,w1g5p3,premob
aran016,1,w1g3p4,ficuco
aran017,1,w1g3p4,ficuco
aran005,1,w1g3p4,ficuco
aran018,1,w1g3p4,ficuco
aran019,2,w1g3p4,ficuco
aran020,1,w1g3p4,ficuco
aran021,1,w1g3p4,ficuco
aran022,1,w1g3p4,ficuco
aran023,1,w1g3p4,ficucg
aran024,1,w1g3p4,ficucg
aran003,1,w1g3p4,ficucg
aran025,1,w1g3p4,melamu
aran026,1,w1g3p4,melamu
aran027,1,w1g3p4,melamu
aran009,1,w1g3p4,melamu
aran028,1,w1g3p4,melamu
aran029,1,w1g3p4,melamu
aran030,1,w1g3p4,piptar
aran031,1,w1g3p4,piptar
aran009,1,w1g3p4,piptar
aran011,4,w1g3p4,piptar
aran032,5,w1g3p4,piptar
aran033,1,w1g3p4,piptar
aran022,1,w1g3p4,piptar
aran003,1,w1g3p4,piptar
aran015,1,w1g3p4,piptar
aran024,1,w1g3p4,piptar
aran025,1,w1g3p4,piptar
aran034,2,w1g3p4,piptar
aran005,1,w1g3p4,piptar
aran035,1,w1g3p4,piptar
aran036,1,w1g3p4,piptar
aran037,1,w1g3p4,piptar
aran038,2,w1g3p4,piptar
aran039,2,w1g3p4,piptar
aran040,1,w1g3p4,piptar
aran041,1,w1g3p4,piptar
aran042,1,w1g3p4,piptar
aran043,1,w1g3p4,piptar
aran044,1,w1g3p4,piptar
aran045,1,w1g3p4,piptar
aran009,3,w1g6p3,piptar
hemi001,1,w1g6p3,piptar
aran011,1,w1g6p3,piptar
aran003,3,w1g6p3,piptar
aran034,3,w1g6p3,piptar
aran033,1,w1g6p3,piptar
aran046,1,w1g6p3,piptar
aran047,1,w1g6p3,piptar
aran048,1,w1g6p3,piptar
aran008,1,w1g6p3,piptar
aran049,1,w1g6p3,piptar
aran050,2,w1g6p3,piptar
aran014,1,w1g6p3,piptar
aran015,1,w1g6p3,piptar
aran021,1,w1g6p3,piptar
aran039,6,w1g6p3,piptar
aran040,1,w1g6p3,piptar
aran035,1,w1g6p3,piptar
aran006,4,w1g6p3,piptar
aran020,1,w1g6p3,piptar
aran024,2,w1g6p3,piptar
aran036,1,w1g6p3,piptar
aran051,2,w1g6p3,piptar
aran052,2,w1g6p3,piptar
aran053,1,w1g6p3,piptar
aran054,2,w1g6p3,piptar
aran055,2,w1g6p3,piptar
aran056,2,w1g6p3,piptar
aran057,3,w1g6p3,piptar
aran058,1,w1g6p3,piptar
