"CODE" "PLOT" "BLOCK" "TREAT" "DATE" "SPEC" "SP_CODE" "LIFE.FORM" "NO_STEMS" "BASAL_A" "HEIGHT_M" "LEAVES" "TRUNK" "WEIGHT" "SURV" "LOOKUPHELP" "WET..g." "DRY" "WATER" "AREA" "SLA" "PHOT_AREA" "HERB" "LOCATION" "LDMC"
"723" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Commersonia bartramia" "COMMBA" "tree" 1 31.17 6 4.2 15.11 19.31 "KM" "" 22.28 10.7 11.58 1232.453 4.74651802984763 NA -5.33561139387227 "W" -0.0790357306769889
"724" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Trema orientalis" "TREMOR" "tree" 8 26.39 2.46 3.85 11.295 15.145 "KM" "" 9.06 2.76 6.3 514.867 5.22867793515459 NA -6.04211024467657 "W" -0.825318953668429
"725" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Macaranga quadriglandulosa" "MACAQU" "tree" 7 23.26 2.87 3.87 6.72 10.59 "KM" "" 30.41 10.02 20.39 1376.135 4.92245102848917 NA -7.43315969635562 "W" -0.710461488929645
"726" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Paspalum sp. 1" "PASPS1" "grass" NA NA NA 2.43 NA 2.43 "KM" "" 4.5 1.56 2.94 269.469 5.15176753464208 NA -8.32958012076248 "W" -0.633723760089145
"727" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Paspalum conjugatum" "PASPCO" "grass" NA NA NA 1.89 NA 1.89 "KM" "" 5.46 1.05 4.41 290.467 5.62269980842375 NA -12.2427681951178 "W" -1.43508452528932
"728" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Lepistemon urceolatus" "LEPIUR" "vine" NA NA NA 0.365 NA 0.365 "KM" "" 12.68 3.76 8.92 679.764 5.19732672170597 NA -6.53985559197389 "W" -0.863876989190115
"729" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Ipomea sp. 1" "IPOMS1" "vine" NA NA NA 7.5 NA 7.5 "KM" "" 19.45 4.68 14.77 1117.602 5.47564248756063 NA -8.86509045720532 "W" -1.14929998661373
"730" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Euphorbia geniculata" "EUPHGE" "herb" NA NA NA 0.32 NA 0.32 "KM" "" 5.32 1.09 4.23 283.993 5.56277189372907 NA -8.34030633682057 "W" -1.35602429681713
"731" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Hyptis capitata" "HYPTCA" "herb" NA NA NA 0.16335 NA 0.16335 "KM" "" 11.91 2.73 9.18 684.727 5.52471860948114 NA -6.44909054200694 "W" -1.21272559543553
"732" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Calopogonium mucunoides" "CALOMU" "vine" NA NA NA 0.06844 NA 0.06844 "KM" "" 8.69 3.29 5.4 590.068 5.18935021971851 NA -5.67935003724349 "W" -0.495511388792948
"733" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Trema orientalis" "TREMOR" "tree" 1 NA NA 0.07295 1.2 1.27295 "KM" "" 21.55 5.21 16.34 887.847 5.13821957508471 NA -6.04211024467657 "W" -1.14303623366658
"734" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Marsdenia velutina" "MARSVE" "vine" NA NA NA 0.00559 NA 0.00559 "KM" "" 2.1 0.4 1.7 160.77 5.99626550404902 NA -8.52353305196242 "W" -1.44691898293633
"735" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Sorghum propinquum" "SORGPR" "grass" NA NA NA 0.08912 NA 0.08912 "KM" "" 3.38 0.7 2.68 232.465 5.80541461999981 NA -7.32446476725176 "W" -1.3424917384615
"736" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Dioscorea sp. 1" "DIOSS1" "vine" NA NA NA 0.00814 NA 0.00814 "KM" "" 3.59 0.77 2.82 176.977 5.43738454476202 NA -5.45995726215154 "W" -1.29810164908443
"737" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Cordyline terminalis" "CORDTE" "herb" NA NA NA 0.03903 14.87 14.90903 "KM" "" 18.79 5.9 12.89 947.346 5.07871203985346 NA -7.47221843225502 "W" -0.781499466039422
"738" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Ageratum conyzoides" "AGERCO" "herb" NA NA NA 0.235 NA 0.235 "KM" "" 9.94 1.68 8.26 669.265 5.98738630188317 NA -8.12400513761549 "W" -1.59263079411772
"739" "WG1P1" "P1" "WG1" "FUNGICIDE" "08/19/16" "Euphorbia hirta" "EUPHHI" "herb" NA NA NA 0.01567 NA 0.01567 "KM" "" 3.18 0.73 2.45 152.278 5.34041854256667 NA -7.54129313179125 "W" -1.21079876939634
"740" "WG1P2" "P2" "WG1" "WEEVIL125" "08/15/16" "Trema orientalis" "TREMOR" "tree" 2 4.81 2.4 2.2 1.58 3.78 "KM" "" 15.51 3.93 11.58 889.405 5.42191327394711 NA -7.32255192254362 "W" -1.08064004626368
"742" "WG1P2" "P2" "WG1" "WEEVIL125" "08/15/16" "Urena lobata" "URENLO" "herb" NA NA NA 0.405 1.11 1.515 "KM" "" 12.44 3.98 8.46 659.436 5.11010310493747 NA -5.86793893040865 "W" -0.754067354321785
"743" "WG1P2" "P2" "WG1" "WEEVIL125" "08/15/16" "Paspalum conjugatum" "PASPCO" "grass" NA NA NA 1.485 NA 1.485 "KM" "" 7.24 1.44 5.8 424.402 5.68603800567616 NA -11.0832799530704 "W" -1.39321480396446
"744" "WG1P2" "P2" "WG1" "WEEVIL125" "08/15/16" "Breynia cernua" "BREYCE" "shrub" NA NA NA 0.05343 0.0421 0.09553 "KM" "" 17.79 4.57 13.22 1021.498 5.40951225144461 NA -7.74416789289453 "W" -1.06221762951743
