"morphotype" "no" "size" "scale" "scl" "notes" "NA" "nscl" "rsize"
"1" "mant001" 1 2.7 "cm" 1 "" "mant" 1 2.7
"2" "mant001" 2 2.7 "cm" 1 "" "mant" 1 2.7
"3" "mant001" 3 3.5 "cm" 1 "" "mant" 1 3.5
"4" "mant001" 4 2.7 "cm" 1 "" "mant" 1 2.7
"5" "mant001" 5 2 "cm" 1 "" "mant" 1 2
"6" "mant001" 6 1.6 "cm" 1 "" "mant" 1 1.6
"7" "mant001" 7 3 "cm" 1 "" "mant" 1 3
"8" "mant001" 8 3.5 "cm" 1 "" "mant" 1 3.5
"9" "mant001" 9 2.2 "cm" 1 "" "mant" 1 2.2
"10" "mant001" 10 3 "cm" 1 "" "mant" 1 3
"11" "mant001" 11 3.5 "cm" 1 "" "mant" 1 3.5
"12" "mant001" 12 4 "cm" 1 "" "mant" 1 4
"13" "mant001" 13 3.8 "cm" 1 "" "mant" 1 3.8
"14" "mant001" 14 4.3 "cm" 1 "" "mant" 1 4.3
"15" "mant001" 15 2.4 "cm" 1 "" "mant" 1 2.4
"16" "mant001" 16 2.4 "cm" 1 "" "mant" 1 2.4
"17" "mant001" 17 4 "cm" 1 "" "mant" 1 4
"18" "mant001" 18 3.8 "cm" 1 "" "mant" 1 3.8
"19" "mant001" 19 5.3 "cm" 1 "" "mant" 1 5.3
"20" "mant001" 20 3.5 "cm" 1 "" "mant" 1 3.5
"21" "mant002" 1 1.5 "cm" 1 "" "mant" 1 1.5
"22" "mant002" 2 1.6 "cm" 1 "" "mant" 1 1.6
"23" "mant002" 3 8.7 "1 cm" 1 "" "mant" 10 0.87
"24" "mant002" 4 8.1 "1 cm" 1 "" "mant" 10 0.81
"25" "mant002" 5 1.5 "cm" 1 "" "mant" 1 1.5
"26" "mant002" 6 1.1 "cm" 1 "" "mant" 1 1.1
"27" "mant002" 7 9.1 "1 cm" 1 "" "mant" 10 0.91
"28" "mant002" 8 1.2 "cm" 1 "" "mant" 1 1.2
"29" "mant002" 9 1.6 "cm" 1 "" "mant" 1 1.6
"30" "mant002" 10 1.3 "cm" 1 "" "mant" 1 1.3
"31" "mant002" 11 1.3 "cm" 1 "" "mant" 1 1.3
"32" "mant002" 12 1.3 "cm" 1 "" "mant" 1 1.3
"33" "mant002" 13 8.7 "1 cm" 1 "" "mant" 10 0.87
"34" "mant002" 14 1.3 "cm" 1 "" "mant" 1 1.3
"35" "mant002" 15 10.1 "1 cm" 1 "" "mant" 10 1.01
"36" "mant002" 16 1.1 "cm" 1 "" "mant" 1 1.1
"37" "mant002" 17 1.4 "cm" 1 "" "mant" 1 1.4
"38" "mant002" 18 1.5 "cm" 1 "" "mant" 1 1.5
"39" "mant002" 19 1.1 "cm" 1 "" "mant" 1 1.1
"40" "mant002" 20 9.3 "1 cm" 1 "" "mant" 10 0.93
"41" "mant003" 1 6.6 "cm" 1 "" "mant" 1 6.6
"42" "mant003" 2 6.5 "cm" 1 "" "mant" 1 6.5
"43" "mant003" 3 6.7 "cm" 1 "" "mant" 1 6.7
"44" "mant003" 4 5.9 "cm" 1 "" "mant" 1 5.9
"45" "mant003" 5 7.5 "cm" 1 "" "mant" 1 7.5
"46" "mant003" 6 6.5 "cm" 1 "" "mant" 1 6.5
"47" "mant003" 7 6.9 "cm" 1 "" "mant" 1 6.9
"48" "mant003" 8 6.5 "cm" 1 "" "mant" 1 6.5
"49" "mant003" 9 7 "cm" 1 "" "mant" 1 7
"50" "mant003" 10 7 "cm" 1 "" "mant" 1 7
"51" "mant003" 11 6.4 "cm" 1 "" "mant" 1 6.4
"52" "mant003" 12 7 "cm" 1 "" "mant" 1 7
"53" "mant003" 13 6.5 "cm" 1 "" "mant" 1 6.5
"54" "mant003" 14 6.6 "cm" 1 "" "mant" 1 6.6
"55" "mant003" 15 6.1 "cm" 1 "" "mant" 1 6.1
"56" "mant003" 16 6.5 "cm" 1 "" "mant" 1 6.5
"57" "mant003" 17 6.7 "cm" 1 "" "mant" 1 6.7
"58" "mant003" 18 6.3 "cm" 1 "" "mant" 1 6.3
"59" "mant003" 19 7.7 "cm" 1 "" "mant" 1 7.7
"60" "mant003" 20 9.3 "cm" 1 "" "mant" 1 9.3
"61" "mant004" 1 2.7 "cm" 1 "" "mant" 1 2.7
"62" "mant004" 2 8.9 "1 cm" 1 "" "mant" 10 0.89
"63" "mant004" 3 8.6 "1 cm" 1 "" "mant" 10 0.86
"64" "mant004" 4 2.8 "cm" 1 "" "mant" 1 2.8
"65" "mant004" 5 2.3 "cm" 1 "" "mant" 1 2.3
"66" "mant004" 6 8.3 "1 cm" 1 "" "mant" 10 0.83
"67" "mant004" 7 8.1 "1 cm" 1 "" "mant" 10 0.81
"68" "mant004" 8 7.5 "1 cm" 1 "" "mant" 10 0.75
"69" "mant004" 9 7.7 "1 cm" 1 "" "mant" 10 0.77
"70" "mant004" 10 8.1 "1 cm" 1 "" "mant" 10 0.81
"71" "mant005" 1 2.6 "cm" 1 "" "mant" 1 2.6
"72" "mant005" 2 2.1 "cm" 1 "" "mant" 1 2.1
"73" "mant005" 3 1.6 "cm" 1 "" "mant" 1 1.6
"74" "mant005" 4 9.3 "1 cm" 1 "" "mant" 10 0.93
"75" "mant005" 5 1.9 "cm" 1 "" "mant" 1 1.9
"76" "mant005" 6 2.3 "cm" 1 "" "mant" 1 2.3
"77" "mant005" 7 1.9 "cm" 1 "" "mant" 1 1.9
"78" "mant005" 8 9.2 "1 cm" 1 "" "mant" 10 0.92
"79" "mant005" 9 1.6 "cm" 1 "" "mant" 1 1.6
"80" "mant006" 1 5.8 "cm" 1 "" "mant" 1 5.8
"81" "mant006" 2 2.4 "cm" 1 "" "mant" 1 2.4
"82" "mant006" 3 2.5 "cm" 1 "" "mant" 1 2.5
"83" "mant006" 4 4.5 "cm" 1 "" "mant" 1 4.5
"84" "mant006" 5 5.4 "cm" 1 "" "mant" 1 5.4
"85" "mant006" 6 2.1 "cm" 1 "" "mant" 1 2.1
"86" "mant006" 7 2.2 "cm" 1 "" "mant" 1 2.2
"87" "mant006" 8 1.2 "cm" 1 "" "mant" 1 1.2
"88" "mant006" 9 2.2 "cm" 1 "" "mant" 1 2.2
"89" "mant006" 10 3.6 "cm" 1 "" "mant" 1 3.6
"90" "mant006" 11 5.8 "cm" 1 "" "mant" 1 5.8
"91" "mant006" 12 1.7 "cm" 1 "" "mant" 1 1.7
"92" "mant006" 13 5.3 "cm" 1 "" "mant" 1 5.3
"93" "mant007" 1 1.2 "cm" 1 "" "mant" 1 1.2
"94" "mant007" 2 1.8 "cm" 1 "" "mant" 1 1.8
"95" "mant007" 3 3.4 "cm" 1 "" "mant" 1 3.4
"96" "mant007" 4 1.2 "cm" 1 "" "mant" 1 1.2
"97" "mant007" 5 1.1 "cm" 1 "" "mant" 1 1.1
"98" "mant007" 6 2.2 "cm" 1 "" "mant" 1 2.2
"99" "mant007" 7 9.6 "1 cm" 1 "" "mant" 10 0.96
"100" "mant007" 8 1.1 "cm" 1 "" "mant" 1 1.1
"101" "mant007" 9 1.1 "cm" 1 "" "mant" 1 1.1
"102" "mant007" 10 2 "cm" 1 "" "mant" 1 2
"103" "mant007" 11 1.5 "cm" 1 "" "mant" 1 1.5
"104" "mant007" 12 1.5 "cm" 1 "" "mant" 1 1.5
"105" "mant007" 13 10 "1 cm" 1 "" "mant" 10 1
"106" "mant007" 14 9.4 "1 cm" 1 "" "mant" 10 0.94
"107" "mant007" 15 1 "cm" 1 "" "mant" 1 1
"108" "mant007" 16 9.7 "1 cm" 1 "" "mant" 10 0.97
"109" "mant007" 17 9.3 "1 cm" 1 "" "mant" 10 0.93
"110" "mant007" 18 9.3 "1 cm" 1 "" "mant" 10 0.93
"111" "mant007" 19 1.1 "cm " 1 "" "mant" 1 1.1
"112" "mant007" 20 9.1 "cm" 1 "" "mant" 1 9.1
"113" "mant008" 1 6.1 "cm" 1 "" "mant" 1 6.1
"114" "mant008" 2 6 "cm" 1 "" "mant" 1 6
"115" "mant008" 3 6.1 "cm" 1 "" "mant" 1 6.1
"116" "mant009" 1 1.7 "cm" 1 "" "mant" 1 1.7
"117" "mant009" 2 2.1 "cm" 1 "" "mant" 1 2.1
"118" "mant009" 3 3.2 "cm" 1 "" "mant" 1 3.2
"119" "mant009" 4 1.3 "cm" 1 "" "mant" 1 1.3
"120" "mant010" 1 7 "cm" 1 "" "mant" 1 7
"121" "mant010" 2 7.1 "cm" 1 "" "mant" 1 7.1
"122" "mant010" 3 6.5 "cm" 1 "" "mant" 1 6.5
"123" "mant010" 4 7.5 "cm" 1 "" "mant" 1 7.5
"124" "mant010" 5 6.6 "cm" 1 "" "mant" 1 6.6
"125" "mant011" 1 4.6 "cm" 1 "" "mant" 1 4.6
"126" "mant011" 2 7 "cm" 1 "" "mant" 1 7
"127" "mant011" 3 2.2 "cm" 1 "" "mant" 1 2.2
"128" "mant011" 4 5.9 "cm" 1 "" "mant" 1 5.9
"129" "mant011" 5 4.3 "cm" 1 "" "mant" 1 4.3
"130" "mant011" 6 4.7 "cm" 1 "" "mant" 1 4.7
"131" "mant011" 7 3.2 "cm" 1 "" "mant" 1 3.2
"132" "mant011" 8 3.3 "cm" 1 "" "mant" 1 3.3
"133" "mant012" 1 6.4 "cm" 1 "" "mant" 1 6.4
"134" "mant012" 2 5.3 "cm" 1 "" "mant" 1 5.3
"135" "mant012" 3 6 "cm" 1 "" "mant" 1 6
"136" "mant013" 1 3.1 "cm" 1 "" "mant" 1 3.1
"137" "mant013" 2 2.9 "cm" 1 "" "mant" 1 2.9
"138" "mant013" 3 2.9 "cm" 1 "" "mant" 1 2.9
"139" "mant014" 1 1.2 "cm" 1 "" "mant" 1 1.2
"140" "mant014" 2 1.3 "cm" 1 "" "mant" 1 1.3
"141" "mant014" 3 1.7 "cm" 1 "" "mant" 1 1.7
"142" "mant014" 4 1.6 "cm" 1 "" "mant" 1 1.6
"143" "aran001" 1 7.5 "1 cm" 1 "" "aran" 10 0.75
"144" "aran001" 2 7.2 "" 0.5 "" "aran" 20 0.36
"145" "aran001" 3 5.7 "1 cm" 1 "" "aran" 10 0.57
"146" "aran001" 4 9.3 "" 0.5 "" "aran" 20 0.465
"147" "aran001" 5 1.1 "cm" 1 "" "aran" 1 1.1
"148" "aran001" 6 6.8 "" 0.5 "" "aran" 20 0.34
"149" "aran001" 7 8.6 "" 0.5 "" "aran" 20 0.43
"150" "aran001" 8 9.2 "" 0.5 "" "aran" 20 0.46
"151" "aran001" 9 7.7 "1 cm" 1 "" "aran" 10 0.77
"152" "aran001" 10 9.3 "" 0.5 "" "aran" 20 0.465
"153" "aran001" 11 7.2 "1 cm" 1 "" "aran" 10 0.72
"154" "aran001" 12 5.3 "1 cm" 1 "" "aran" 10 0.53
"155" "aran001" 13 6.1 "1 cm" 1 "" "aran" 10 0.61
"156" "aran001" 14 7.8 "1 cm" 1 "" "aran" 10 0.78
"157" "aran001" 15 7.9 "" 0.5 "" "aran" 20 0.395
"158" "aran001" 16 6 "1 cm" 1 "" "aran" 10 0.6
"159" "aran001" 17 7.5 "" 0.5 "" "aran" 20 0.375
"160" "aran001" 18 6.8 "1 cm" 1 "" "aran" 10 0.68
"161" "aran001" 19 7.9 "" 0.5 "" "aran" 20 0.395
"162" "aran001" 20 9.9 "" 0.5 "" "aran" 20 0.495
"163" "aran002" 1 6.9 "1 cm" 1 "" "aran" 10 0.69
"164" "aran002" 2 7.2 "1 cm" 1 "" "aran" 10 0.72
"165" "aran002" 3 6.6 "1 cm" 1 "" "aran" 10 0.66
"166" "aran002" 4 5.1 "1 cm" 1 "" "aran" 10 0.51
"167" "aran002" 5 5.3 "1 cm" 1 "" "aran" 10 0.53
