"Order" "Plant" "NC" "NEx" "HL" "HLLCL" "HLUCL" "P" "pred.eff"
"1" "Orthoptera" "piptar" 84 147 -3.8707121536258 -10.4019326725792 8.6119568138868e-06 0.061 "ns"
"2" "Orthoptera" "prems1" 2 13 -1.66615184259689e-06 -425.610568414389 12.6587332796786 0.661 "ns"
"3" "Orthoptera" "tricpl" 22 17 2.88759866653522e-05 -11.1853147964971 10.6749017635911 0.931 "ns"
"4" "Orthoptera" "melos1" 131 28 -39.4009075709192 -41.4618491893388 -34.0882832535974 0 "decrease"
"5" "Orthoptera" "melamu" 71 66 1.70989412259124 -0.379819478550497 4.02773920932225 0.162 "ns"
"6" "Orthoptera" "macata" 17 3 4.02775315284675 -4.52917591847963 67.3544540002975 0.425 "ns"
"7" "Orthoptera" "cordte" 4 3 5.41933318076405 -20.3326361126066 334.690147359879 0.858 "ns"
"8" "Orthoptera" "breyce" 6 7 9.45039447014096 -19.2539670917247 81.3166171486245 0.35 "ns"
"9" "Orthoptera" "tremor" 64 40 0.693912665531778 -0.453343046823983 12.7928976752944 0.137 "ns"
"10" "Orthoptera" "manies" 10 10 -33.9765535287058 -92.5605941544761 6.11500152731346e-05 0.047 "decrease"
"11" "Homoptera" "tremor" 24 17 1.45161330963254e-06 -1.22294246264021e-05 1.79890552751651 0.422 "ns"
"12" "Homoptera" "piptar" 47 106 -4.42077370655155e-05 -5.20650266415634e-05 5.24380836892972e-05 0.093 "ns"
"13" "Homoptera" "melamu" 34 81 -4.2142362713581e-05 -5.42917776025603e-05 6.07718499812637e-05 0.293 "ns"
"14" "Homoptera" "tricpl" 8 15 -5.57759989768631e-05 -0.559793138999251 5.12355525817786e-05 0.893 "ns"
"15" "Homoptera" "macata" 2 2 0.820348179786275 0 1.64069635957255 0.617 "ns"
"16" "Heteroptera" "tricpl" 8 28 -1.40382284562523 -4.88967168074275 1.57977813926206 0.379 "ns"
"17" "Heteroptera" "melamu" 356 60 -0.383000486909871 -1.06774511179612 3.00740068140722e-05 0.105 "ns"
"18" "Heteroptera" "piptar" 262 213 7.2411991249808e-05 -1.46743015676991e-05 2.88515589744824e-05 0.963 "ns"
"19" "Heteroptera" "melos1" 111 7 -1.9240220538715 -6.23006862606582 5.78418489591174 0.254 "ns"
"20" "Heteroptera" "tremor" 27 26 13.8891053588754 4.46942025867488 15.8919852145423 0.002 "increase"
"21" "Arachnida" "melos1" 84 5 -4.3693955154806 -6.70108464669766 -2.6787468714821 0.001 "decrease"
"22" "Arachnida" "tremor" 61 62 -0.806449818697284 -1.89551713729245 9.86480482103604e-06 0.061 "ns"
"23" "Arachnida" "piptar" 80 146 -1.34613694803116 -2.17393615950555 -0.73106253522103 0 "decrease"
"24" "Arachnida" "melamu" 56 55 -0.656931274847149 -1.41934991097892 0.162769884679105 0.189 "ns"
"25" "Arachnida" "cordte" 12 8 -0.326184169956725 -1.93989144593078 1.08908344919155 0.561 "ns"
"26" "Arachnida" "breyce" 10 8 2.04719620570759 0.0998040955034613 4.1639718061178 0.032 "increase"
"27" "Arachnida" "tricpl" 25 29 0.25554865248404 -0.806471670895282 2.40761735451651 0.459 "ns"
"28" "Arachnida" "macata" 6 7 -1.06739881546799 -7.80244186821609 2.5675743393661 0.668 "ns"
"29" "Mantodea" "piptar" 11 67 0.162038602035609 4.80941850119652e-05 49.8150931555093 0.025 "increase"
"30" "Mantodea" "melamu" 3 18 -1.47676553716722e-06 -6.55068119098802 49.815083857565 1 "ns"
"31" "Mantodea" "tricpl" 5 24 49.8151247826536 49.8151238905563 49.8151688458818 0 "increase"
"32" "Mantodea" "tremor" 30 12 -3.07410186580087e-05 -54.0458612435269 1.27070026528345 0.74 "ns"
"33" "Coleoptera" "piptar" 393 662 -3.64649377020114e-05 -7.48599684923073e-06 -5.3968224769126e-05 0 "decrease"
"34" "Coleoptera" "tremor" 107 44 5.79916231984832e-05 -5.94250515478115e-05 1.0488262004043 0.485 "ns"
"35" "Coleoptera" "tricpl" 50 79 -4.99260448598287e-05 -0.405146137579493 1.20563903086762e-05 0.347 "ns"
"36" "Coleoptera" "macata" 43 20 -3.36415630236693e-05 -3.38146252192006e-05 2.98599080453127e-05 0.86 "ns"
"37" "Coleoptera" "melamu" 148 81 0.867497039506132 3.69208439623381e-05 1.56995288063109 0.046 "increase"
"38" "Coleoptera" "melos1" 341 11 -2.30649762890555 -6.50716706878114 3.8976274826396e-05 0.078 "ns"
"39" "Coleoptera" "prems1" 16 17 -1.04881175271684 -1.04885985403213 5.08670363720983 0.824 "ns"
"40" "Lepidoptera" "piptar" 31 234 -0.306871079541842 -1.55123601941299 -1.01147850473909e-05 0.002 "decrease"
"41" "Lepidoptera" "tremor" 218 417 3.64285003927477e-05 2.56074509099745e-06 3.06104483261039e-05 0 "increase"
"42" "Lepidoptera" "tricpl" 36 13 -0.286247720680707 -2.53662840909584 1.26492461489387 0.527 "ns"
"43" "Lepidoptera" "melamu" 12 7 4.30770577589819e-05 -1.60228919632572 1.96862836563416 0.966 "ns"
"44" "Lepidoptera" "macata" 4 4 9.70861676265826 -4.80644310700641 17.4026619286939 0.142 "ns"
"45" "Lepidoptera" "melos1" 66 4 5.22127802646046 -1.73212863285588 7.4293076540505 0.323 "ns"
"46" "Lepidoptera" "breyce" 2 8 -0.302012505418684 -1.60221480437864 3.21944031571895 0.891 "ns"
