"Order" "Plant" "NC" "NEx" "HL" "HLLCL" "HLUCL" "P" "pred.eff"
"1" "orth" "piptar" 41 68 -7.1543113216578 -21.8254763824629 0.453310779886318 0.102 "ns"
"2" "orth" "prems1" 1 9 -8.71993122332942 -425.610568414389 12.6587332796786 0.6 "ns"
"3" "orth" "tricpl" 10 9 -0.0280187656314204 -35.1746971024348 6.5946447441242 0.902 "ns"
"4" "orth" "melos1" 28 6 -10.6063244052991 -29.5033185326262 6.37582672658729 0.268 "ns"
"5" "orth" "melamu" 13 37 1.48859318455633 -4.34077494179599 14.7475232927115 0.603 "ns"
"6" "orth" "breyce" 3 6 14.6336428467557 -433.133153925742 102.833454491673 0.262 "ns"
"7" "orth" "tremor" 22 19 2.89110847145439 -12.1885586410709 28.0806694050913 0.539 "ns"
"8" "aran" "piptar" 45 79 -1.46461562465325 -2.63774080975731 -0.257021244890937 0.009 "decrease"
"9" "aran" "melos1" 36 4 -4.02301086302278 -6.70120512337975 -0.626966512207605 0.021 "decrease"
"10" "aran" "breyce" 6 6 0.761615362250338 -2.59608141261237 4.16401090403329 0.295 "ns"
"11" "aran" "melamu" 10 38 -0.348821996625885 -2.26815374236251 2.3531676562379 0.79 "ns"
"12" "aran" "tricpl" 11 16 0.434808353068163 -2.17279892721669 3.05632456126616 0.604 "ns"
"13" "aran" "tremor" 21 33 -0.792056192764109 -2.91527726793386 0.806458027239997 0.342 "ns"
"14" "homo" "melamu" 2 5 4.97788232510626e-07 -0.88025731738031 2.95909841160571 1 "ns"
"15" "homo" "melos1" 5 1 -0.559803751879948 -2.95909841160571 0.6007464439033 0.766 "ns"
"16" "homo" "piptar" 9 13 -1.1486358466678e-05 -1.46813632559955 1.64068786441823 0.761 "ns"
"17" "homo" "tricpl" 1 3 -5.91068615768715e-05 -0.6007464439033 0 1 "ns"
"18" "homo" "tremor" 7 6 -0.829598428805475 -2.13309346860826 1.91137117864407 0.771 "ns"
"19" "hemi" "piptar" 25 41 0.668892309553781 -2.55494177575451 10.3167349454441 0.552 "ns"
"20" "hemi" "prems1" 3 1 1.89927005617621 0.141648474034412 68.1808793069157 0.5 "ns"
"21" "hemi" "melos1" 17 2 6.89468923137109 -6.23006481110548 140.036039557577 0.387 "ns"
"22" "hemi" "melamu" 12 21 -1.1933967463849 -6.75736140894762 1.84983877048174 0.42 "ns"
"23" "hemi" "tricpl" 1 7 1.92400901610673 -11.3844308672552 5.15603759697187 0.826 "ns"
"24" "hemi" "tremor" 3 8 -1.93696220366424 -90.7677051546277 23.5158723641904 0.921 "ns"
"25" "mant" "piptar" 6 9 3.85043272635388e-05 -49.6531855795492 56.3659145513294 0.76 "ns"
"26" "mant" "breyce" 1 1 14.7365315264225 14.7365315264225 14.7365315264225 1 "ns"
"27" "mant" "tremor" 8 6 -11.5418008456941 -555.698609035978 71.1024802203868 0.795 "ns"
"28" "cole" "prems1" 6 4 4.65589684003137 -2.39773523655536 14.4683092478187 0.334 "ns"
"29" "cole" "piptar" 39 57 -1.34221891351733 -4.86886921269639 0.68389594069933 0.185 "ns"
"30" "cole" "melamu" 15 28 6.50710059806274 0.98118625593707 10.3011134138324 0.012 "increase"
"31" "cole" "melos1" 23 3 4.00673398527026 -2.92292168193235 13.6584371975253 0.241 "ns"
"32" "cole" "tricpl" 12 14 0.364979351773498 -1.97989589729719 6.88183620996396 0.722 "ns"
"33" "cole" "breyce" 1 4 -6.11747301350226e-05 -6.50713962156408 1.04885140294014 1 "ns"
"34" "lepi" "prems1" 1 2 -0.55539764855905 -1.1107952971181 0 1 "ns"
"35" "lepi" "piptar" 14 45 -1.74335387333281 -3.87514622866177 -1.18567178417749e-05 0.034 "decrease"
"36" "lepi" "melamu" 1 5 -0.286324841181336 -12.1048581169306 1.96863055369188 0.766 "ns"
"37" "lepi" "melos1" 14 3 0.0301384590245457 -3.40617777181417 11.6644459214857 1 "ns"
"38" "lepi" "breyce" 2 5 -0.220182376873217 -1.60221480437864 3.21944031571895 0.841 "ns"
"39" "lepi" "tricpl" 5 9 0.70639792276664 -4.24788110236461 9.78022239970854 0.894 "ns"
"40" "lepi" "tremor" 19 18 0.680011082051769 -1.33166122469913 3.24719993001286 0.503 "ns"
"41" "lepi" "urenlo" 1 1 1.6065683919817 1.6065683919817 1.6065683919817 1 "ns"
