"Order" "Site" "NC" "NEx" "HL" "HLLCL" "HLUCL" "P" "pred.eff"
"1" "Orthoptera" "g5" 78 24 -11.9585405556762 -20.197106213339 -2.46455772924664 0.005 "decrease"
"2" "Orthoptera" "g4" 152 74 -23.8699445741098 -34.4646947900962 -12.2206547171984 0 "decrease"
"3" "Orthoptera" "g2" 37 19 -30.2811994630815 -105.607079982381 0.403656419182155 0.072 "ns"
"4" "Orthoptera" "g1" 60 42 0.453303704141242 -1.04952107845971 14.3326920153272 0.384 "ns"
"5" "Orthoptera" "g3" 69 116 -0.501453484048132 -5.31267471287507 2.06098348140033 0.56 "ns"
"6" "Orthoptera" "g6" 26 94 2.06088925430716 -0.775270751141289 12.6419406778613 0.145 "ns"
"7" "Homoptera" "g1" 29 17 1.83413194568059 1.04764200411555 2.71438721644474 0 "increase"
"8" "Homoptera" "g4" 11 17 -2.66516717462058e-05 -2.75901784369283 1.99285524569564e-05 0.145 "ns"
"9" "Homoptera" "g2" 8 3 -5.02574761812214e-05 -2.69192133682813 3.51831329880024 0.737 "ns"
"10" "Homoptera" "g3" 63 62 6.3148866899045e-05 -3.96078065482269e-05 7.71633481704819e-05 0.788 "ns"
"11" "Heteroptera" "g5" 168 4 -0.421576456483992 -2.96091917241331 2.96557215998939 0.734 "ns"
"12" "Heteroptera" "g3" 156 143 2.19395330324009 1.02749180934949 3.58247689767559 0 "increase"
"13" "Heteroptera" "g1" 28 36 4.73594660394225 1.57566088700671e-05 14.5491553154016 0 "increase"
"14" "Heteroptera" "g6" 3 109 -3.02152597805442 -14.6790807301046 0 0.025 "decrease"
"15" "Heteroptera" "g2" 263 22 -1.34042582811216 -1.78243465077372 -0.266436985167753 0 "decrease"
"16" "Heteroptera" "g4" 167 48 -0.691046992348297 -1.72116208057392 7.6809716301654e-06 0.242 "ns"
"17" "Arachnida" "g4" 89 82 -0.806474383590691 -1.74506447216168 1.70275908421776e-05 0.05 "decrease"
"18" "Arachnida" "g6" 35 63 0.761643649386764 4.91107011838648e-05 2.17385046110295 0.047 "increase"
"19" "Arachnida" "g3" 76 103 -2.01973519948021 -2.7185287113043 -1.20746983883106 0 "decrease"
"20" "Arachnida" "g2" 49 25 -2.91524855149122 -4.3645083861202 -1.51728110618626 0.001 "decrease"
"21" "Arachnida" "g1" 66 59 -0.0753710820812656 -1.04305825397453 0.326119782713216 0.458 "ns"
"22" "Arachnida" "g5" 47 19 -1.89548679447125 -3.61625779363197 -0.67359195859757 0.003 "decrease"
"23" "Mantodea" "g3" 7 6 7.96034259417354e-05 -1.00274632790533e-05 56.3659562807448 0.382 "ns"
"24" "Mantodea" "g6" 2 96 0.162052543071773 0.161952814153599 64.5516692797589 0 "increase"
"25" "Mantodea" "g5" 6 2 -14.7364983876207 -64.5516692797589 14.7365315264225 0.371 "ns"
"26" "Mantodea" "g2" 2 3 -6.35087410107471e-05 -612.064463426632 0 0.683 "ns"
"27" "Mantodea" "g1" 38 24 -4.86853685650133e-05 -54.0459770204018 5.16055032922411e-05 0.179 "ns"
"28" "Coleoptera" "g2" 165 45 -4.00768634626354 -6.13558420294965 -1.04885854070971 0 "decrease"
"29" "Coleoptera" "g3" 320 445 -4.86287806154947e-05 -0.773669881566243 -2.32930839876337e-05 0 "decrease"
"30" "Coleoptera" "g4" 362 151 -5.04062855483351 -6.50708112796736 -2.30643804720326 0 "decrease"
"31" "Coleoptera" "g5" 198 37 -1.25539069243874 -2.77835696057381 -1.04884778817326 0 "decrease"
"32" "Coleoptera" "g6" 65 315 1.62438658698397e-06 -4.44533105546837e-06 1.04893129766936 0.294 "ns"
"33" "Lepidoptera" "g1" 101 24 0.130190080219868 -0.628041910654545 1.26486302134696 0.658 "ns"
"34" "Lepidoptera" "g2" 5 379 5.21230074176832e-05 5.74109308723488e-05 7.50738387455647e-05 0 "increase"
"35" "Lepidoptera" "g3" 18 94 6.23835508873413e-05 -0.286309603505414 0.286331281692343 0.965 "ns"
"36" "Lepidoptera" "g4" 70 40 2.34513867831465 0.37659641263943 7.07638857480481 0.001 "increase"
"37" "Lepidoptera" "g5" 177 15 -1.8142775716362 -1.81426838295595 -1.26496800865355 0 "decrease"
"38" "Lepidoptera" "g6" 18 150 1.4753405574328 -3.03474268021206e-05 3.02651248694055 0.07 "ns"
