"Order" "Site" "NC" "NEx" "HL" "HLLCL" "HLUCL" "P" "pred.eff"
"1" "orth" "g5" 1 15 -3.87074924028396 -425.610568414389 19.3608442479367 0.663 "ns"
"2" "orth" "g4" 36 35 -1.99915176561254 -18.3225119029058 3.76842813198823 0.468 "ns"
"3" "orth" "g6" 21 55 1.48867376155187 -2.27216035985062 13.2463270772418 0.386 "ns"
"4" "orth" "g1" 26 20 -4.07956387742622 -15.2882030167319 14.3326462367524 0.564 "ns"
"5" "orth" "g2" 6 13 -27.8988102179545 -301.219455671807 28.4844504077508 0.38 "ns"
"6" "orth" "g3" 28 57 -3.34593562266908 -16.3952960566287 3.48510473953187 0.333 "ns"
"7" "aran" "g4" 39 47 -0.64459728197086 -2.18485277597014 0.688066678856509 0.349 "ns"
"8" "aran" "g6" 28 47 0.606559805792467 -0.408802841000732 1.99862213737606 0.192 "ns"
"9" "aran" "g1" 25 37 -0.34856759774152 -1.92660209762247 0.866770902689543 0.425 "ns"
"10" "aran" "g3" 37 55 -2.34785206080011 -3.64641323632653 -1.13333765847174 0 "decrease"
"11" "homo" "g4" 6 7 -0.046800849173893 -2.75906772255566 0.600763165452634 0.498 "ns"
"12" "homo" "g1" 9 7 5.34199015667252e-05 -1.04762888494544 1.79884486933017 0.914 "ns"
"13" "homo" "g3" 9 15 1.61885715097832e-05 -1.64067251805775 1.83415257547082 1 "ns"
"14" "hemi" "g5" 3 4 4.07487715096236 -1.03689179324626 72.9288389322533 0.114 "ns"
"15" "hemi" "g4" 25 15 3.86007193155159 -0.957433324139201 11.0024075685372 0.167 "ns"
"16" "hemi" "g6" 2 32 -9.16869733456237 -85.4189366650872 -0.130014250727986 0.025 "decrease"
"17" "hemi" "g1" 6 3 8.80742382608212 -1.97613726170286 30.5594651081841 0.241 "ns"
"18" "hemi" "g3" 25 42 2.66670114844075 -0.689991011784417 11.3844691041982 0.112 "ns"
"19" "mant" "g6" 2 7 0.161979372077914 -367.513728848979 64.5516692797589 0.764 "ns"
"20" "mant" "g1" 10 10 -49.8151397284552 -350.872684083366 6.71278308207702 0.339 "ns"
"21" "mant" "g3" 3 3 55.0950869419479 -56.3658922503806 578.022539291942 0.653 "ns"
"22" "cole" "g5" 6 8 6.37319556068491e-05 -4.97676635650923 7.11682256524716 1 "ns"
"23" "cole" "g4" 28 25 2.54103157720917 -0.321471093665374 6.47913336226056 0.111 "ns"
"24" "cole" "g6" 27 64 -7.24561878505713e-05 -4.33433102508066 1.42034429939331 0.748 "ns"
"25" "cole" "g2" 7 9 1.33474933659603 -5.16479339328814 9.00832426073326 0.485 "ns"
"26" "cole" "g3" 28 42 1.87402801713098 -2.91606136424292e-05 5.27045803835363 0.082 "ns"
"27" "lepi" "g5" 1 6 -0.620312552953291 -12.2544057067829 1.26488074527843 0.614 "ns"
"28" "lepi" "g4" 15 17 1.04614001479497 -0.703755291662135 7.07634967776307 0.289 "ns"
"29" "lepi" "g6" 7 38 -0.337366229813838 -5.22186039568129 2.59659903785454 0.742 "ns"
"30" "lepi" "g1" 28 15 0.390959877218257 -1.9596035698591 2.89338000832368 0.637 "ns"
"31" "lepi" "g3" 6 15 -0.250953808795079 -4.18203018406992 2.56960310344865 0.785 "ns"
