"morphotype" "amount" "plot" "tree" "date" "adult.larvae" "family" "morph" "bio" "totbio" "morphplot" "plant_bio" "guild" "treat"
"1" "orth020" 64 "w1g5p5" "piptar" "7/22/2016" "" "orth" "orth020" 15.9052173639475 1017.93391129264 "orthw1g5p5" 250.8006 "herbivore" "insecticide"
"2" "orth015" 10 "w1g5p5" "piptar" "7/22/2016" "" "orth" "orth015" 15.4518541860732 154.518541860732 "orthw1g5p5" 250.8006 "herbivore" "insecticide"
"3" "orth024" 1 "w1g5p5" "piptar" "7/22/2016" "A" "orth" "orth024" 6.00475800356624 6.00475800356624 "orthw1g5p5" 250.8006 "herbivore" "insecticide"
"4" "orth003" 3 "w1g5p5" "piptar" "7/22/2016" "" "orth" "orth003" 5.50328873744218 16.5098662123265 "orthw1g5p5" 250.8006 "herbivore" "insecticide"
"5" "orth019" 3 "w1g5p5" "piptar" "7/22/2016" "" "orth" "orth019" 3.23117909348423 9.69353728045269 "orthw1g5p5" 250.8006 "herbivore" "insecticide"
"6" "orth029" 2 "w1g5p5" "piptar" "7/22/2016" "" "orth" "orth029" 3.0123139495047 6.0246278990094 "orthw1g5p5" 250.8006 "herbivore" "insecticide"
"7" "orth033" 13 "w1g5p5" "piptar" "7/22/2016" "L" "orth" "orth033" 9.60696794427957 124.890583275634 "orthw1g5p5" 250.8006 "herbivore" "insecticide"
"8" "orth026" 1 "w1g5p5" "piptar" "7/22/2016" "A" "orth" "orth026" 213.063317190153 213.063317190153 "orthw1g5p5" 250.8006 "herbivore" "insecticide"
"9" "orth034" 1 "w1g5p5" "piptar" "7/22/2016" "" "orth" "orth034" 90.5418103397003 90.5418103397003 "orthw1g5p5" 250.8006 "herbivore" "insecticide"
"10" "orth035" 3 "w1g5p5" "piptar" "7/22/2016" "L" "orth" "orth035" 41.1794617272267 123.53838518168 "orthw1g5p5" 250.8006 "herbivore" "insecticide"
"11" "orth036" 1 "w1g5p5" "piptar" "7/22/2016" "L" "orth" "orth036" 62.2341748598447 62.2341748598447 "orthw1g5p5" 250.8006 "herbivore" "insecticide"
"12" "orth018" 1 "w1g5p5" "piptar" "7/22/2016" "" "orth" "orth018" 24.4843275653858 24.4843275653858 "orthw1g5p5" 250.8006 "herbivore" "insecticide"
"13" "orth037" 3 "w1g5p5" "piptar" "7/22/2016" "L" "orth" "orth037" 14.6174474097651 43.8523422292953 "orthw1g5p5" 250.8006 "herbivore" "insecticide"
"14" "orth012" 1 "w1g5p5" "piptar" "7/22/2016" "" "orth" "orth012" 44.1207604967473 44.1207604967473 "orthw1g5p5" 250.8006 "herbivore" "insecticide"
"15" "orth031" 2 "w1g5p5" "piptar" "7/22/2016" "" "orth" "orth031" 143.302888147005 286.60577629401 "orthw1g5p5" 250.8006 "herbivore" "insecticide"
"16" "orth038" 1 "w1g5p5" "piptar" "7/22/2016" "L" "orth" NA NA NA "orthw1g5p5" 250.8006 "herbivore" "insecticide"
"17" "orth039" 1 "w1g5p5" "piptar" "7/22/2016" "A" "orth" "orth039" 46.7718702312646 46.7718702312646 "orthw1g5p5" 250.8006 "herbivore" "insecticide"
"18" "orth040" 1 "w1g5p5" "piptar" "7/22/2016" "A" "orth" "orth040" 1628.49871595999 1628.49871595999 "orthw1g5p5" 250.8006 "herbivore" "insecticide"
"19" "orth041" 2 "w1g5p5" "piptar" "7/22/2016" "A" "orth" "orth041" 4.19111255860843 8.38222511721686 "orthw1g5p5" 250.8006 "herbivore" "insecticide"
"20" "orth042" 1 "w1g5p5" "piptar" "7/22/2016" "L" "orth" "orth042" 330.95938264751 330.95938264751 "orthw1g5p5" 250.8006 "herbivore" "insecticide"
"21" "orth046" 3 "w1g1p2" "tricpl" "8/15/2016" "" "orth" "orth046" 11.8255942857072 35.4767828571216 "orthw1g1p2" 0.37683 "herbivore" "weevil125"
"22" "orth017" 1 "w1g1p2" "tricpl" "8/15/2016" "" "orth" "orth017" 450.094895979775 450.094895979775 "orthw1g1p2" 0.37683 "herbivore" "weevil125"
"23" "orth008" 1 "w1g1p2" "tremor" "8/15/2016" "L" "orth" "orth008" 389.078789581175 389.078789581175 "orthw1g1p2" 3.78 "herbivore" "weevil125"
"24" "orth020" 4 "w1g1p2" "tremor" "8/15/2016" "" "orth" "orth020" 15.9052173639475 63.62086945579 "orthw1g1p2" 3.78 "herbivore" "weevil125"
"25" "orth013" 1 "w1g1p2" "tremor" "8/15/2016" "" "orth" "orth013" 33.2042105386573 33.2042105386573 "orthw1g1p2" 3.78 "herbivore" "weevil125"
"26" "orth015" 2 "w1g1p2" "tremor" "8/15/2016" "" "orth" "orth015" 15.4518541860732 30.9037083721464 "orthw1g1p2" 3.78 "herbivore" "weevil125"
"27" "orth017" 1 "w1g1p2" "tremor" "8/15/2016" "" "orth" "orth017" 450.094895979775 450.094895979775 "orthw1g1p2" 3.78 "herbivore" "weevil125"
"28" "orth053" 1 "w1g1p2" "tremor" "8/15/2016" "" "orth" NA NA NA "orthw1g1p2" 3.78 "herbivore" "weevil125"
"29" "orth019" 1 "w1g6p3" "macata" "7/14/2016" "" "orth" "orth019" 3.23117909348423 3.23117909348423 "orthw1g6p3" 2.965 "herbivore" "insecticide"
"30" "orth019" 1 "w1g6p3" "tricpl" "7/14/2016" "" "orth" "orth019" 3.23117909348423 3.23117909348423 "orthw1g6p3" 9.64 "herbivore" "insecticide"
"31" "orth011" 1 "w1g6p3" "tricpl" "7/14/2016" "L" "orth" "orth011" 21.4017641921427 21.4017641921427 "orthw1g6p3" 9.64 "herbivore" "insecticide"
"32" "orth033" 1 "w1g6p3" "tricpl" "7/14/2016" "" "orth" "orth033" 9.60696794427957 9.60696794427957 "orthw1g6p3" 9.64 "herbivore" "insecticide"
"33" "orth024" 2 "w1g6p3" "tricpl" "7/14/2016" "" "orth" "orth024" 6.00475800356624 12.0095160071325 "orthw1g6p3" 9.64 "herbivore" "insecticide"
"34" "orth037" 1 "w1g6p3" "tricpl" "7/14/2016" "" "orth" "orth037" 14.6174474097651 14.6174474097651 "orthw1g6p3" 9.64 "herbivore" "insecticide"
"35" "orth050" 1 "w1g6p3" "tricpl" "7/14/2016" "" "orth" "orth050" 3.26322118683651 3.26322118683651 "orthw1g6p3" 9.64 "herbivore" "insecticide"
"36" "orth030" 1 "w1g6p3" "tricpl" "7/14/2016" "" "orth" "orth030" 1.07759863630533 1.07759863630533 "orthw1g6p3" 9.64 "herbivore" "insecticide"
"37" "orth020" 17 "w1g6p3" "piptar" "7/14/2016" "L" "orth" "orth020" 15.9052173639475 270.388695187107 "orthw1g6p3" 82.59 "herbivore" "insecticide"
"38" "orth001" 1 "w1g6p3" "piptar" "7/14/2016" "L" "orth" "orth001" 2.65887708549633 2.65887708549633 "orthw1g6p3" 82.59 "herbivore" "insecticide"
"39" "orth019" 3 "w1g6p3" "piptar" "7/14/2016" "L" "orth" "orth019" 3.23117909348423 9.69353728045269 "orthw1g6p3" 82.59 "herbivore" "insecticide"
"40" "orth003" 2 "w1g6p3" "piptar" "7/14/2016" "A" "orth" "orth003" 5.50328873744218 11.0065774748844 "orthw1g6p3" 82.59 "herbivore" "insecticide"
"41" "orth002" 1 "w1g6p3" "piptar" "7/14/2016" "A" "orth" "orth002" 4.71982706775403 4.71982706775403 "orthw1g6p3" 82.59 "herbivore" "insecticide"
"42" "orth051" 2 "w1g6p3" "piptar" "7/14/2016" "L" "orth" "orth051" 209.624388945307 419.248777890614 "orthw1g6p3" 82.59 "herbivore" "insecticide"
"43" "orth025" 1 "w1g6p3" "piptar" "7/14/2016" "L" "orth" "orth025" 14.3959644893701 14.3959644893701 "orthw1g6p3" 82.59 "herbivore" "insecticide"
"44" "orth035" 2 "w1g6p3" "piptar" "7/14/2016" "L" "orth" "orth035" 41.1794617272267 82.3589234544534 "orthw1g6p3" 82.59 "herbivore" "insecticide"
"45" "orth024" 5 "w1g6p3" "piptar" "7/14/2016" "A" "orth" "orth024" 6.00475800356624 30.0237900178312 "orthw1g6p3" 82.59 "herbivore" "insecticide"
"46" "orth044" 1 "w1g6p3" "piptar" "7/14/2016" "L" "orth" "orth044" 28.3550436324258 28.3550436324258 "orthw1g6p3" 82.59 "herbivore" "insecticide"
"47" "orth013" 1 "w1g6p3" "piptar" "7/14/2016" "L" "orth" "orth013" 33.2042105386573 33.2042105386573 "orthw1g6p3" 82.59 "herbivore" "insecticide"
"48" "orth043" 1 "w1g6p3" "piptar" "7/14/2016" "L" "orth" "orth043" 5.12348331744905 5.12348331744905 "orthw1g6p3" 82.59 "herbivore" "insecticide"
"49" "orth028" 1 "w1g6p3" "piptar" "7/14/2016" "L" "orth" "orth028" 10.0324695711807 10.0324695711807 "orthw1g6p3" 82.59 "herbivore" "insecticide"
"50" "orth026" 2 "w1g6p3" "piptar" "7/14/2016" "A" "orth" "orth026" 213.063317190153 426.126634380306 "orthw1g6p3" 82.59 "herbivore" "insecticide"
"51" "orth052" 1 "w1g6p3" "piptar" "7/14/2016" "L" "orth" "orth052" 70.2048310796966 70.2048310796966 "orthw1g6p3" 82.59 "herbivore" "insecticide"
"52" "orth054" 5 "w1g6p3" "piptar" "7/14/2016" "L" "orth" "orth054" 70.7395160219863 353.697580109932 "orthw1g6p3" 82.59 "herbivore" "insecticide"
"53" "orth033" 5 "w1g6p3" "piptar" "7/14/2016" "L" "orth" "orth033" 9.60696794427957 48.0348397213978 "orthw1g6p3" 82.59 "herbivore" "insecticide"
"54" "orth020" 2 "w1g6p3" "piptar" "7/14/2016" "L" "orth" "orth020" 15.9052173639475 31.810434727895 "orthw1g6p3" 82.59 "herbivore" "insecticide"
"55" "orth015" 3 "w1g6p3" "piptar" "7/14/2016" "L" "orth" "orth015" 15.4518541860732 46.3555625582196 "orthw1g6p3" 82.59 "herbivore" "insecticide"
"56" "orth031" 5 "w1g6p3" "piptar" "7/14/2016" "L" "orth" "orth031" 143.302888147005 716.514440735025 "orthw1g6p3" 82.59 "herbivore" "insecticide"
"57" "orth008" 1 "w1g6p3" "piptar" "7/14/2016" "L" "orth" "orth008" 389.078789581175 389.078789581175 "orthw1g6p3" 82.59 "herbivore" "insecticide"
"58" "orth032" 2 "w1g6p3" "piptar" "7/14/2016" "A" "orth" "orth032" 1126.98061122298 2253.96122244596 "orthw1g6p3" 82.59 "herbivore" "insecticide"
"59" "orth052" 2 "w1g6p3" "breyce" "7/14/2016" "L" "orth" "orth052" 70.2048310796966 140.409662159393 "orthw1g6p3" 4.4 "herbivore" "insecticide"
"60" "orth011" 1 "w1g6p3" "tremor" "7/14/2016" "L" "orth" "orth011" 21.4017641921427 21.4017641921427 "orthw1g6p3" 74.685 "herbivore" "insecticide"
"61" "orth030" 1 "w1g6p3" "tremor" "7/14/2016" "L" "orth" "orth030" 1.07759863630533 1.07759863630533 "orthw1g6p3" 74.685 "herbivore" "insecticide"
"62" "orth044" 1 "w1g6p3" "tremor" "7/14/2016" "L" "orth" "orth044" 28.3550436324258 28.3550436324258 "orthw1g6p3" 74.685 "herbivore" "insecticide"
"63" "orth019" 1 "w1g6p3" "tremor" "7/14/2016" "L" "orth" "orth019" 3.23117909348423 3.23117909348423 "orthw1g6p3" 74.685 "herbivore" "insecticide"
"64" "orth015" 3 "w1g6p3" "tremor" "7/14/2016" "L" "orth" "orth015" 15.4518541860732 46.3555625582196 "orthw1g6p3" 74.685 "herbivore" "insecticide"
"65" "orth054" 5 "w1g6p3" "tremor" "7/14/2016" "L" "orth" "orth054" 70.7395160219863 353.697580109932 "orthw1g6p3" 74.685 "herbivore" "insecticide"
"66" "orth055" 1 "w1g2p6" "macata" "8/6/2016" "A" "orth" "orth055" 73.3592151982932 73.3592151982932 "orthw1g2p6" 1.088 "herbivore" "control"
"67" "orth056" 1 "w1g2p6" "macata" "8/6/2016" "L" "orth" "orth056" 15.3820567963206 15.3820567963206 "orthw1g2p6" 1.088 "herbivore" "control"
"68" "orth055" 1 "w1g2p6" "melamu" "8/6/2016" "A" "orth" "orth055" 73.3592151982932 73.3592151982932 "orthw1g2p6" 59.81 "herbivore" "control"
"69" "orth057" 1 "w1g2p6" "melamu" "8/6/2016" "L" "orth" "orth057" 44.8588578238422 44.8588578238422 "orthw1g2p6" 59.81 "herbivore" "control"
"70" "orth007" 2 "w1g2p6" "melamu" "8/6/2016" "L" "orth" "orth007" 20.0203414917987 40.0406829835974 "orthw1g2p6" 59.81 "herbivore" "control"
"71" "orth019" 3 "w1g2p6" "melamu" "8/6/2016" "L" "orth" "orth019" 3.23117909348423 9.69353728045269 "orthw1g2p6" 59.81 "herbivore" "control"
"72" "orth003" 3 "w1g2p6" "melamu" "8/6/2016" "A" "orth" "orth003" 5.50328873744218 16.5098662123265 "orthw1g2p6" 59.81 "herbivore" "control"
"73" "orth014" 2 "w1g2p6" "melamu" "8/6/2016" "A" "orth" "orth014" 5.23029175638737 10.4605835127747 "orthw1g2p6" 59.81 "herbivore" "control"
"74" "orth043" 2 "w1g2p6" "melamu" "8/6/2016" "A" "orth" "orth043" 5.12348331744905 10.2469666348981 "orthw1g2p6" 59.81 "herbivore" "control"
"75" "orth021" 1 "w1g2p6" "melamu" "8/6/2016" "L" "orth" "orth021" 16.017271581578 16.017271581578 "orthw1g2p6" 59.81 "herbivore" "control"
"76" "orth008" 1 "w1g2p6" "melamu" "8/6/2016" "L" "orth" "orth008" 389.078789581175 389.078789581175 "orthw1g2p6" 59.81 "herbivore" "control"
"77" "orth048" 1 "w1g2p6" "cordte" "8/6/2016" "L" "orth" "orth048" 344.72261693106 344.72261693106 "orthw1g2p6" 3.655 "herbivore" "control"
"78" "orth015" 2 "w1g2p6" "cordte" "8/6/2016" "L" "orth" "orth015" 15.4518541860732 30.9037083721464 "orthw1g2p6" 3.655 "herbivore" "control"
"79" "orth013" 1 "w1g2p6" "cordte" "8/6/2016" "L" "orth" "orth013" 33.2042105386573 33.2042105386573 "orthw1g2p6" 3.655 "herbivore" "control"
"80" "orth013" 1 "w1g2p6" "piptar" "8/6/2016" "L" "orth" "orth013" 33.2042105386573 33.2042105386573 "orthw1g2p6" 8.615 "herbivore" "control"
"81" "orth004" 1 "w1g2p6" "piptar" "8/6/2016" "L" "orth" "orth004" 6.99956067494318 6.99956067494318 "orthw1g2p6" 8.615 "herbivore" "control"
"82" "orth019" 1 "w1g2p6" "piptar" "8/6/2016" "L" "orth" "orth019" 3.23117909348423 3.23117909348423 "orthw1g2p6" 8.615 "herbivore" "control"
"83" "orth031" 1 "w1g2p6" "piptar" "8/6/2016" "L" "orth" "orth031" 143.302888147005 143.302888147005 "orthw1g2p6" 8.615 "herbivore" "control"
"84" "orth052" 1 "w1g2p6" "piptar" "8/6/2016" "L" "orth" "orth052" 70.2048310796966 70.2048310796966 "orthw1g2p6" 8.615 "herbivore" "control"
"85" "orth028" 1 "w1g2p6" "piptar" "8/6/2016" "L" "orth" "orth028" 10.0324695711807 10.0324695711807 "orthw1g2p6" 8.615 "herbivore" "control"
"86" "orth001" 2 "w1g2p6" "viteco" "8/6/2016" "L" "orth" "orth001" 2.65887708549633 5.31775417099266 "orthw1g2p6" 1.11 "herbivore" "control"
"87" "orth031" 2 "w1g2p6" "viteco" "8/6/2016" "L" "orth" "orth031" 143.302888147005 286.60577629401 "orthw1g2p6" 1.11 "herbivore" "control"
"88" "orth033" 1 "w1g2p6" "viteco" "8/6/2016" "L" "orth" "orth033" 9.60696794427957 9.60696794427957 "orthw1g2p6" 1.11 "herbivore" "control"
"89" "orth044" 1 "w1g2p6" "viteco" "8/6/2016" "L" "orth" "orth044" 28.3550436324258 28.3550436324258 "orthw1g2p6" 1.11 "herbivore" "control"
"90" "orth016" 1 "w1g2p6" "viteco" "8/6/2016" "L" "orth" "orth016" 35.7844902986798 35.7844902986798 "orthw1g2p6" 1.11 "herbivore" "control"
"91" "orth005" 1 "w1g2p6" "viteco" "8/6/2016" "L" "orth" "orth005" 24.3651344709323 24.3651344709323 "orthw1g2p6" 1.11 "herbivore" "control"
"92" "orth006" 1 "w1g2p6" "viteco" "8/6/2016" "L" "orth" "orth006" 25.3206288031699 25.3206288031699 "orthw1g2p6" 1.11 "herbivore" "control"
"93" "orth031" 5 "w1g6p5" "piptar" "7/11/2016" "L" "orth" "orth031" 143.302888147005 716.514440735025 "orthw1g6p5" 33.6 "herbivore" "weevil25"
"94" "orth020" 17 "w1g6p5" "piptar" "7/11/2016" "L" "orth" "orth020" 15.9052173639475 270.388695187107 "orthw1g6p5" 33.6 "herbivore" "weevil25"
"95" "orth035" 1 "w1g6p5" "piptar" "7/11/2016" "L" "orth" "orth035" 41.1794617272267 41.1794617272267 "orthw1g6p5" 33.6 "herbivore" "weevil25"
"96" "orth012" 2 "w1g6p5" "piptar" "7/11/2016" "L" "orth" "orth012" 44.1207604967473 88.2415209934946 "orthw1g6p5" 33.6 "herbivore" "weevil25"
"97" "orth017" 1 "w1g6p5" "piptar" "7/11/2016" "L" "orth" "orth017" 450.094895979775 450.094895979775 "orthw1g6p5" 33.6 "herbivore" "weevil25"
"98" "orth048" 1 "w1g6p5" "piptar" "7/11/2016" "L" "orth" "orth048" 344.72261693106 344.72261693106 "orthw1g6p5" 33.6 "herbivore" "weevil25"
"99" "orth008" 1 "w1g6p5" "piptar" "7/11/2016" "L" "orth" "orth008" 389.078789581175 389.078789581175 "orthw1g6p5" 33.6 "herbivore" "weevil25"
"100" "orth059" 1 "w1g6p5" "piptar" "7/11/2016" "A" "orth" "orth059" 520.346924697688 520.346924697688 "orthw1g6p5" 33.6 "herbivore" "weevil25"
"101" "orth013" 2 "w1g6p5" "piptar" "7/11/2016" "L" "orth" "orth013" 33.2042105386573 66.4084210773146 "orthw1g6p5" 33.6 "herbivore" "weevil25"
"102" "orth011" 2 "w1g6p5" "piptar" "7/11/2016" "L" "orth" "orth011" 21.4017641921427 42.8035283842854 "orthw1g6p5" 33.6 "herbivore" "weevil25"
"103" "orth024" 4 "w1g6p5" "piptar" "7/11/2016" "A" "orth" "orth024" 6.00475800356624 24.019032014265 "orthw1g6p5" 33.6 "herbivore" "weevil25"
"104" "orth050" 4 "w1g6p5" "piptar" "7/11/2016" "L" "orth" "orth050" 3.26322118683651 13.052884747346 "orthw1g6p5" 33.6 "herbivore" "weevil25"
"105" "orth006" 3 "w1g6p5" "piptar" "7/11/2016" "L" "orth" "orth006" 25.3206288031699 75.9618864095097 "orthw1g6p5" 33.6 "herbivore" "weevil25"
"106" "orth001" 2 "w1g6p5" "piptar" "7/11/2016" "L" "orth" "orth001" 2.65887708549633 5.31775417099266 "orthw1g6p5" 33.6 "herbivore" "weevil25"
"107" "orth002" 1 "w1g6p5" "piptar" "7/11/2016" "A" "orth" "orth002" 4.71982706775403 4.71982706775403 "orthw1g6p5" 33.6 "herbivore" "weevil25"
"108" "orth003" 3 "w1g6p5" "piptar" "7/11/2016" "A" "orth" "orth003" 5.50328873744218 16.5098662123265 "orthw1g6p5" 33.6 "herbivore" "weevil25"
"109" "orth004" 1 "w1g6p5" "piptar" "7/11/2016" "L" "orth" "orth004" 6.99956067494318 6.99956067494318 "orthw1g6p5" 33.6 "herbivore" "weevil25"
"110" "orth005" 1 "w1g6p5" "piptar" "7/11/2016" "L" "orth" "orth005" 24.3651344709323 24.3651344709323 "orthw1g6p5" 33.6 "herbivore" "weevil25"
"111" "orth030" 1 "w1g6p5" "piptar" "7/11/2016" "L" "orth" "orth030" 1.07759863630533 1.07759863630533 "orthw1g6p5" 33.6 "herbivore" "weevil25"
"112" "orth045" 1 "w1g6p5" "piptar" "7/11/2016" "L" "orth" "orth045" 1.52123749342375 1.52123749342375 "orthw1g6p5" 33.6 "herbivore" "weevil25"
"113" "orth049" 3 "w1g6p5" "piptar" "7/11/2016" "A" "orth" "orth049" 5.0063974704072 15.0191924112216 "orthw1g6p5" 33.6 "herbivore" "weevil25"
"114" "orth019" 6 "w1g6p5" "piptar" "7/11/2016" "L" "orth" "orth019" 3.23117909348423 19.3870745609054 "orthw1g6p5" 33.6 "herbivore" "weevil25"
